ProjectCoCID,ProjectID,CoCCode,Geocode,Address1,Address2,City,State,ZIP,GeographyType,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"PC123480","NXS129","XX-501","003300","852 Pine Ave",,"Clinton","XX","00333",3,"2018-02-22 09:05:23","2021-08-15 11:38:32",,,608011156
"PC123481","PSH119","XX-501","001100","947 Second Way",,"Chester","XX","00111",1,"2018-04-22 11:54:38","2021-09-09 12:14:27",,,608011156
"PC123482","NXS130","XX-501","003300","896 Third St",,"Washington","XX","00333",3,"2019-05-01 09:18:55","2023-08-19 14:33:31",,,608011156
"PC123483","RRH131","XX-501","003300","541 Cedar Way",,"Bristol","XX","00333",3,"2019-07-20 13:18:33","2022-12-08 13:23:33",,,608011156
"PC123484","RRH132","XX-501","001100","757 Third Rd",,"Washington","XX","00111",1,"2019-11-02 10:20:17","2021-08-15 11:27:04",,,608011156
"PC123485","RRH133","XX-501","001100","185 Oak St",,"Washington","XX","00111",1,"2019-11-29 11:54:48","2021-09-09 12:16:23",,,608011156
"PC123487","OPH136","XX-501","001100","414 Pine St",,"Lebanon","XX","00111",1,"2020-05-21 12:12:38","2021-08-15 11:20:50",,,608011156
"PC123488","HAV137","XX-501","001100","842 Third St",,"Chester","XX","00111",1,"2020-08-10 11:34:33","2021-04-09 10:33:42",,,608011156
"PC123489","NXS138","XX-501","003300","366 Park Ave",,"Centerville","XX","00333",3,"2020-08-16 13:16:47","2021-04-10 10:16:44",,,608011156
"PC123490","RRH142","XX-501","001100","834 Pine Way",,"Greenville","XX","00111",1,"2020-08-30 10:34:29","2021-08-15 11:43:54",,,608011156
"PC123491","RRH143","XX-501","001100","426 Main Ave",,"Greenville","XX","00111",1,"2020-08-30 12:48:08","2024-03-09 23:39:06",,,608011156
"PC123493","RRH140","XX-501","001100","937 Third Way",,"Arlington","XX","00111",1,"2020-10-30 15:25:21","2021-04-09 09:54:42",,,608011156
"PC123494","RRH141","XX-501","001100","884 Park St",,"Centerville","XX","00111",1,"2020-11-08 15:36:30","2021-01-24 11:17:38",,,608011156
"PC123495","OPH144","XX-501","001100","639 Pine Rd",,"Fairview","XX","00111",1,"2020-11-23 12:56:25","2021-04-09 10:30:25",,,608011156
"PC123496","OPH145","XX-501","001100","718 Park Way",,"Fairview","XX","00111",1,"2021-06-13 08:30:15","2021-06-13 08:30:15",,,608011156
"PC123497","TRN146","XX-501","001100","734 Pine Ave",,"Georgetown","XX","00111",1,"2021-07-15 14:01:16","2021-07-15 14:01:16",,,608011156
"PC123498","NXS147","XX-501","001100","234 Main Way",,"Greenville","XX","00111",1,"2021-10-02 13:53:53","2021-10-02 13:53:53",,,608011156
"PC123499","PSH148","XX-501","002200","539 Second St",,"Franklin","XX","00222",2,"2021-10-14 08:41:55","2021-10-14 08:41:55",,,608011156
"PC123500","RRH149","XX-501","001100","883 Park Rd",,"Washington","XX","00111",1,"2021-12-23 09:24:22","2021-12-23 09:24:22",,,608011156
"PC123501","NXS151","XX-501","003300","826 Cedar Ave",,"Greenville","XX","00333",3,"2022-01-29 09:19:27","2022-02-10 10:45:52",,,608011156
"PC123502","PSH120","XX-501","001100","865 Oak Way",,"Bristol","XX","00111",1,"2022-02-25 14:50:28","2024-03-09 15:46:35",,,608011156
"PC123503","RSO152","XX-501","003300","726 Main Rd",,"Fairview","XX","00333",3,"2022-04-14 07:32:23","2022-04-14 07:32:23",,,608011156
"PC123504","RRH153","XX-501","003300","253 Third St",,"Georgetown","XX","00333",3,"2022-05-05 10:38:35","2022-05-05 10:38:35",,,608011156
"PC123505","RRH150","XX-501","001100","389 Park Ave",,"Fairview","XX","00111",1,"2022-05-12 14:30:48","2024-03-07 11:09:01",,,608011156
"PC123506","OPH115","XX-501","001100","249 Main Ave",,"Franklin","XX","00111",1,"2022-08-26 14:32:43","2022-08-26 14:32:43",,,608011156
"PC123507","RRH154","XX-501","001100","711 Third Way",,"Clinton","XX","00111",1,"2022-11-19 10:37:58","2022-11-19 10:37:58",,,608011156
"PC123508","RRH155","XX-501","001100","491 Third Rd",,"Franklin","XX","00111",1,"2023-05-18 17:27:15","2024-03-09 23:22:58",,,608011156
"PC123509","RRH156","XX-501","001100","141 Park Way",,"Chester","XX","00111",1,"2023-05-18 17:30:19","2023-05-18 17:30:19",,,608011156
"PC123510","RRH157","XX-501","001100","499 Cedar Rd",,"Bristol","XX","00111",1,"2023-05-19 12:27:42","2023-05-19 12:27:42",,,608011156
"PC123511","RRH158","XX-501","003300","191 Third Ave",,"Franklin","XX","00333",3,"2023-05-20 13:23:03","2024-08-25 16:39:53",,,608011156
"PC123512","RRH159","XX-501","003300","971 Cedar Ave",,"Franklin","XX","00333",3,"2023-05-26 12:32:52","2023-05-26 12:32:52",,,608011156
"PC123513","RRH160","XX-501","001100","127 Park Ave",,"Bristol","XX","00111",1,"2023-05-28 15:14:44","2023-05-28 15:14:44",,,608011156
"PC123514","RRH161","XX-501","001100","227 Pine Rd",,"Bristol","XX","00111",1,"2023-07-13 16:24:08","2023-07-13 16:24:08",,,608011156
"PC123515","RRH162","XX-501","003300","631 Third Rd",,"Chester","XX","00333",3,"2023-08-23 15:51:54","2023-08-23 15:51:54",,,608011156
"PC123516","OPH163","XX-501","001100","375 Oak St",,"Arlington","XX","00111",1,"2023-09-01 08:36:40","2023-09-01 08:38:05",,,608011156
"PC123517","NXS135","XX-501","003300","964 Second St",,"Bristol","XX","00333",3,"2023-10-25 15:46:01","2024-03-22 08:52:25",,,608011156
"PC123518","PSH164","XX-501","002200","944 Main Way",,"Bristol","XX","00222",2,"2023-11-24 15:35:34","2024-03-09 23:51:56",,,608011156
"PC123519","TRN166","XX-501","003300","776 Cedar Ave",,"Centerville","XX","00333",3,"2024-03-11 15:43:52","2024-10-19 09:26:54",,,608011156
"PC123520","PSH165","XX-501","001100","836 Third Ave",,"Clinton","XX","00111",1,"2024-06-14 15:42:37","2024-06-14 15:42:37",,,608011156
"PC123521","HAV167","XX-501","001100","431 Park Ave",,"Washington","XX","00111",1,"2024-07-06 10:37:23","2024-07-06 10:37:23",,,608011156
"PC123522","OPH168","XX-501","001100","843 Cedar Way",,"Washington","XX","00111",1,"2025-03-09 09:23:13","2025-03-09 10:01:23",,,608011156
"PC123523","RRH169","XX-501","001100","433 Third Rd",,"Chester","XX","00111",1,"2025-04-03 16:00:46","2025-04-03 16:00:46",,,608011156
"PC123524","RRH170","XX-501","001100","154 Pine Ave",,"Centerville","XX","00111",1,"2025-04-04 10:47:34","2025-04-04 10:47:34",,,608011156
"PC123525","NBN171","XX-501","002200","714 C St",,"Salida","XX","00222",2,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,608011156
"PC123528","NXS173","XX-501","001100","219 E Dale St",,"The Springs","XX","00111",1,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,608011156
"PC123529","PSH180","XX-501","002200","3443 Mooney Ave",,"Amberley Village","XX","00222",2,"2023-07-25 10:09:56","2023-07-25 10:09:56",,,608011156
