Value,Cohort,Universe,HHType,Population,SystemPath,ProjectID,ReportRow,ReportID,Step
73,1,-1,1,1519,-1,,3,607271242,"8.4-8.7"
179,1,-1,1,1526,-1,,8,607271242,"8.4-8.7"
22,1,-1,1,1048,-1,,2,607271242,"8.4-8.7"
357,1,-1,3,0,5,,9,607271242,"8.4-8.7"
49,1,-1,1,43,-1,,1,607271242,"8.4-8.7"
200,1,-1,2,36,-1,,7,607271242,"8.4-8.7"
588,1,-1,0,1542,-1,,6,607271242,"8.4-8.7"
51,1,-1,1,1021,-1,,1,607271242,"8.4-8.7"
100,1,-1,3,19,-1,,6,607271242,"8.4-8.7"
633,1,-1,0,1344,-1,,7,607271242,"8.4-8.7"
251,1,-1,1,0,10,,4,607271242,"8.4-8.7"
198,1,-1,1,17,-1,,16,607271242,"8.4-8.7"
71,1,-1,0,1322,-1,,5,607271242,"8.4-8.7"
227,1,-1,1,10,-1,,13,607271242,"8.4-8.7"
171,1,-1,0,13,6,,9,607271242,"8.4-8.7"
277,1,-1,0,23,-1,,7,607271242,"8.4-8.7"
62,1,-1,0,15,7,,4,607271242,"8.4-8.7"
101,1,-1,2,33,-1,,3,607271242,"8.4-8.7"
17,1,-1,99,16,1,,7,607271242,"8.4-8.7"
314,1,-1,2,1233,-1,,7,607271242,"8.4-8.7"
132,1,-1,2,16,1,,9,607271242,"8.4-8.7"
70,1,-1,0,1536,-1,,3,607271242,"8.4-8.7"
47,1,-1,0,0,7,,8,607271242,"8.4-8.7"
52,1,-1,0,1326,-1,,1,607271242,"8.4-8.7"
68,1,-1,1,16,2,,9,607271242,"8.4-8.7"
166,1,-1,0,0,7,,5,607271242,"8.4-8.7"
59,1,-1,3,39,-1,,1,607271242,"8.4-8.7"
244,1,-1,1,17,5,,8,607271242,"8.4-8.7"
103,1,-1,0,17,6,,5,607271242,"8.4-8.7"
23,1,-1,1,1138,-1,,4,607271242,"8.4-8.7"
80,1,-1,0,1343,-1,,3,607271242,"8.4-8.7"
275,1,-1,1,0,1,,7,607271242,"8.4-8.7"
56,1,-1,2,19,-1,,3,607271242,"8.4-8.7"
211,1,-1,3,44,-1,,8,607271242,"8.4-8.7"
78,1,-1,1,1119,-1,,9,607271242,"8.4-8.7"
186,1,-1,1,1434,-1,,8,607271242,"8.4-8.7"
331,1,-1,2,21,-1,,7,607271242,"8.4-8.7"
153,1,-1,2,1348,-1,,7,607271242,"8.4-8.7"
164,1,-1,1,16,6,,8,607271242,"8.4-8.7"
82,1,-1,1,15,-1,,2,607271242,"8.4-8.7"
663,1,-1,1,1542,-1,,7,607271242,"8.4-8.7"
303,1,-1,0,1324,-1,,9,607271242,"8.4-8.7"
81,1,-1,2,17,12,,6,607271242,"8.4-8.7"
1,1,-1,3,15,4,,4,607271242,"8.4-8.7"
79,1,-1,3,41,-1,,1,607271242,"8.4-8.7"
78,1,-1,1,1318,-1,,3,607271242,"8.4-8.7"
59,1,-1,1,1433,-1,,5,607271242,"8.4-8.7"
359,1,-1,1,13,8,,4,607271242,"8.4-8.7"
128,1,-1,1,1420,-1,,8,607271242,"8.4-8.7"
101,1,-1,1,1442,-1,,9,607271242,"8.4-8.7"
69,1,-1,1,1336,-1,,1,607271242,"8.4-8.7"
115,1,-1,99,34,-1,,3,607271242,"8.4-8.7"
114,1,-1,99,43,-1,,7,607271242,"8.4-8.7"
62,1,-1,1,1033,-1,,6,607271242,"8.4-8.7"
2,1,-1,99,42,-1,,6,607271242,"8.4-8.7"
92,1,-1,99,18,-1,,5,607271242,"8.4-8.7"
51,1,-1,1,19,-1,,1,607271242,"8.4-8.7"
171,1,-1,2,44,-1,,6,607271242,"8.4-8.7"
350,1,-1,0,36,-1,,7,607271242,"8.4-8.7"
28,1,-1,1,13,7,,1,607271242,"8.4-8.7"
39,1,-1,99,17,-1,,1,607271242,"8.4-8.7"
211,1,-1,2,48,-1,,8,607271242,"8.4-8.7"
24,1,-1,1,1325,-1,,1,607271242,"8.4-8.7"
72,1,-1,2,12,1,,6,607271242,"8.4-8.7"
198,1,-1,2,1236,-1,,7,607271242,"8.4-8.7"
56,1,-1,1,1035,-1,,4,607271242,"8.4-8.7"
16,1,-1,1,1121,-1,,6,607271242,"8.4-8.7"
86,1,-1,1,1534,-1,,1,607271242,"8.4-8.7"
77,1,-1,0,17,2,,9,607271242,"8.4-8.7"
390,1,-1,0,13,2,,6,607271242,"8.4-8.7"
45,1,-1,1,1429,-1,,3,607271242,"8.4-8.7"
127,1,-1,2,1235,-1,,9,607271242,"8.4-8.7"
32,1,-1,1,1025,-1,,3,607271242,"8.4-8.7"
70,1,-1,3,1544,-1,,7,607271242,"8.4-8.7"
48,1,-1,1,17,9,,6,607271242,"8.4-8.7"
35,1,-1,0,17,5,,1,607271242,"8.4-8.7"
27,1,-1,99,35,-1,,3,607271242,"8.4-8.7"
468,1,-1,1,11,2,,6,607271242,"8.4-8.7"
69,1,-1,1,1439,-1,,5,607271242,"8.4-8.7"
1171,1,-1,0,15,12,,6,607271242,"8.4-8.7"
51,1,-1,2,17,-1,,1,607271242,"8.4-8.7"
65,1,-1,1,1521,-1,,3,607271242,"8.4-8.7"
78,1,-1,0,36,-1,,2,607271242,"8.4-8.7"
143,1,-1,99,36,-1,,5,607271242,"8.4-8.7"
32,1,-1,1,1524,-1,,4,607271242,"8.4-8.7"
84,1,-1,1,1525,-1,,1,607271242,"8.4-8.7"
101,1,-1,1,40,-1,,9,607271242,"8.4-8.7"
33,1,-1,3,43,-1,,1,607271242,"8.4-8.7"
50,1,-1,1,1415,-1,,2,607271242,"8.4-8.7"
46,1,-1,2,1241,-1,,1,607271242,"8.4-8.7"
216,1,-1,99,48,-1,,9,607271242,"8.4-8.7"
277,1,-1,3,1520,-1,,8,607271242,"8.4-8.7"
153,1,-1,0,1327,-1,,8,607271242,"8.4-8.7"
52,1,-1,0,36,-1,,3,607271242,"8.4-8.7"
1171,1,-1,1,16,12,,6,607271242,"8.4-8.7"
182,1,-1,1,15,4,,9,607271242,"8.4-8.7"
105,1,-1,1,1415,-1,,5,607271242,"8.4-8.7"
41,1,-1,1,1039,-1,,5,607271242,"8.4-8.7"
39,1,-1,1,1020,-1,,3,607271242,"8.4-8.7"
161,1,-1,0,1534,-1,,8,607271242,"8.4-8.7"
56,1,-1,0,1320,-1,,3,607271242,"8.4-8.7"
171,1,-1,1,13,6,,9,607271242,"8.4-8.7"
85,1,-1,2,12,8,,6,607271242,"8.4-8.7"
409,1,-1,1,36,-1,,6,607271242,"8.4-8.7"
762,1,-1,0,13,9,,6,607271242,"8.4-8.7"
31,1,-1,1,17,-1,,14,607271242,"8.4-8.7"
67,1,-1,1,1436,-1,,5,607271242,"8.4-8.7"
145,1,-1,1,1138,-1,,7,607271242,"8.4-8.7"
62,1,-1,2,1318,-1,,3,607271242,"8.4-8.7"
74,1,-1,1,17,4,,6,607271242,"8.4-8.7"
284,1,-1,1,1323,-1,,6,607271242,"8.4-8.7"
3,1,-1,0,13,12,,1,607271242,"8.4-8.7"
147,1,-1,1,21,-1,,8,607271242,"8.4-8.7"
90,1,-1,1,25,-1,,5,607271242,"8.4-8.7"
64,1,-1,1,37,-1,,1,607271242,"8.4-8.7"
51,1,-1,1,1021,-1,,5,607271242,"8.4-8.7"
547,1,-1,2,1319,-1,,7,607271242,"8.4-8.7"
68,1,-1,1,1019,-1,,9,607271242,"8.4-8.7"
225,1,-1,0,1524,-1,,9,607271242,"8.4-8.7"
82,1,-1,2,20,-1,,9,607271242,"8.4-8.7"
453,1,-1,1,1445,-1,,6,607271242,"8.4-8.7"
563,1,-1,0,1343,-1,,6,607271242,"8.4-8.7"
551,1,-1,0,13,-1,,7,607271242,"8.4-8.7"
1065,1,-1,1,13,8,,7,607271242,"8.4-8.7"
64,1,-1,2,25,-1,,3,607271242,"8.4-8.7"
104,1,-1,3,15,-1,,9,607271242,"8.4-8.7"
91,1,-1,1,13,7,,2,607271242,"8.4-8.7"
171,1,-1,0,17,-1,,15,607271242,"8.4-8.7"
199,1,-1,1,14,-1,,16,607271242,"8.4-8.7"
42,1,-1,2,1323,-1,,7,607271242,"8.4-8.7"
37,1,-1,1,33,-1,,3,607271242,"8.4-8.7"
20,1,-1,2,1323,-1,,4,607271242,"8.4-8.7"
211,1,-1,1,17,12,,2,607271242,"8.4-8.7"
34,1,-1,1,1029,-1,,9,607271242,"8.4-8.7"
326,1,-1,0,1524,-1,,7,607271242,"8.4-8.7"
1734,1,-1,1,0,8,,6,607271242,"8.4-8.7"
17,1,-1,99,1531,-1,,7,607271242,"8.4-8.7"
128,1,-1,0,17,9,,7,607271242,"8.4-8.7"
458,1,-1,1,14,6,,7,607271242,"8.4-8.7"
43,1,-1,2,1221,-1,,9,607271242,"8.4-8.7"
712,1,-1,0,17,8,,5,607271242,"8.4-8.7"
17,1,-1,1,1329,-1,,3,607271242,"8.4-8.7"
98,1,-1,0,22,-1,,5,607271242,"8.4-8.7"
9,1,-1,3,34,-1,,4,607271242,"8.4-8.7"
47,1,-1,1,1144,-1,,4,607271242,"8.4-8.7"
2,1,-1,3,46,-1,,6,607271242,"8.4-8.7"
952,1,-1,0,16,5,,7,607271242,"8.4-8.7"
1,1,-1,2,12,8,,5,607271242,"8.4-8.7"
155,1,-1,2,1539,-1,,9,607271242,"8.4-8.7"
32,1,-1,2,1521,-1,,3,607271242,"8.4-8.7"
58,1,-1,2,25,-1,,5,607271242,"8.4-8.7"
305,1,-1,1,27,-1,,6,607271242,"8.4-8.7"
3,1,-1,1,1333,-1,,1,607271242,"8.4-8.7"
1098,1,-1,0,16,12,,7,607271242,"8.4-8.7"
44,1,-1,1,1034,-1,,1,607271242,"8.4-8.7"
11,1,-1,2,26,-1,,1,607271242,"8.4-8.7"
16,1,-1,99,38,-1,,1,607271242,"8.4-8.7"
135,1,-1,1,1338,-1,,9,607271242,"8.4-8.7"
806,1,-1,0,1535,-1,,6,607271242,"8.4-8.7"
60,1,-1,2,1243,-1,,5,607271242,"8.4-8.7"
136,1,-1,1,1540,-1,,9,607271242,"8.4-8.7"
68,1,-1,1,16,10,,1,607271242,"8.4-8.7"
106,1,-1,2,1548,-1,,3,607271242,"8.4-8.7"
163,1,-1,1,1023,-1,,7,607271242,"8.4-8.7"
57,1,-1,1,1442,-1,,3,607271242,"8.4-8.7"
77,1,-1,0,1334,-1,,1,607271242,"8.4-8.7"
52,1,-1,1,1326,-1,,1,607271242,"8.4-8.7"
229,1,-1,0,17,11,,7,607271242,"8.4-8.7"
162,1,-1,1,1534,-1,,8,607271242,"8.4-8.7"
145,1,-1,1,17,7,,3,607271242,"8.4-8.7"
202,1,-1,1,17,10,,4,607271242,"8.4-8.7"
77,1,-1,1,1339,-1,,2,607271242,"8.4-8.7"
257,1,-1,0,13,12,,5,607271242,"8.4-8.7"
104,1,-1,1,27,-1,,9,607271242,"8.4-8.7"
68,1,-1,1,1531,-1,,8,607271242,"8.4-8.7"
58,1,-1,1,42,-1,,3,607271242,"8.4-8.7"
76,1,-1,1,39,-1,,5,607271242,"8.4-8.7"
64,1,-1,0,1340,-1,,5,607271242,"8.4-8.7"
79,1,-1,3,40,-1,,9,607271242,"8.4-8.7"
116,1,-1,3,1523,-1,,7,607271242,"8.4-8.7"
59,1,-1,0,0,1,,9,607271242,"8.4-8.7"
86,1,-1,2,1222,-1,,7,607271242,"8.4-8.7"
55,1,-1,0,26,-1,,5,607271242,"8.4-8.7"
166,1,-1,1,0,7,,5,607271242,"8.4-8.7"
144,1,-1,1,1530,-1,,9,607271242,"8.4-8.7"
304,1,-1,1,1427,-1,,7,607271242,"8.4-8.7"
847,1,-1,2,15,5,,7,607271242,"8.4-8.7"
15,1,-1,99,1541,-1,,1,607271242,"8.4-8.7"
115,1,-1,2,1543,-1,,3,607271242,"8.4-8.7"
63,1,-1,1,17,7,,1,607271242,"8.4-8.7"
15,1,-1,99,1542,-1,,3,607271242,"8.4-8.7"
75,1,-1,0,1344,-1,,1,607271242,"8.4-8.7"
73,1,-1,2,48,-1,,4,607271242,"8.4-8.7"
38,1,-1,2,1220,-1,,3,607271242,"8.4-8.7"
640,1,-1,1,1337,-1,,7,607271242,"8.4-8.7"
115,1,-1,99,34,-1,,9,607271242,"8.4-8.7"
51,1,-1,1,1520,-1,,1,607271242,"8.4-8.7"
47,1,-1,2,24,-1,,5,607271242,"8.4-8.7"
57,1,-1,2,43,-1,,5,607271242,"8.4-8.7"
613,1,-1,0,1542,-1,,7,607271242,"8.4-8.7"
63,1,-1,1,38,-1,,3,607271242,"8.4-8.7"
34,1,-1,1,1423,-1,,4,607271242,"8.4-8.7"
38,1,-1,2,1220,-1,,1,607271242,"8.4-8.7"
150,1,-1,1,0,-1,,12,607271242,"8.4-8.7"
535,1,-1,2,24,-1,,6,607271242,"8.4-8.7"
39,1,-1,1,29,-1,,1,607271242,"8.4-8.7"
72,1,-1,0,19,-1,,2,607271242,"8.4-8.7"
112,1,-1,1,11,-1,,2,607271242,"8.4-8.7"
31,1,-1,3,1543,-1,,3,607271242,"8.4-8.7"
64,1,-1,0,1527,-1,,2,607271242,"8.4-8.7"
120,1,-1,0,1531,-1,,9,607271242,"8.4-8.7"
123,1,-1,1,17,11,,6,607271242,"8.4-8.7"
283,1,-1,2,13,5,,9,607271242,"8.4-8.7"
80,1,-1,1,17,2,,9,607271242,"8.4-8.7"
52,1,-1,0,19,-1,,1,607271242,"8.4-8.7"
119,1,-1,1,17,4,,7,607271242,"8.4-8.7"
75,1,-1,0,1335,-1,,1,607271242,"8.4-8.7"
61,1,-1,1,0,9,,5,607271242,"8.4-8.7"
36,1,-1,3,19,-1,,3,607271242,"8.4-8.7"
20,1,-1,99,39,-1,,7,607271242,"8.4-8.7"
55,1,-1,2,38,-1,,1,607271242,"8.4-8.7"
48,1,-1,1,1118,-1,,3,607271242,"8.4-8.7"
136,1,-1,1,13,12,,3,607271242,"8.4-8.7"
1469,1,-1,1,11,10,,7,607271242,"8.4-8.7"
806,1,-1,1,16,5,,6,607271242,"8.4-8.7"
115,1,-1,3,23,-1,,6,607271242,"8.4-8.7"
28,1,-1,2,1242,-1,,6,607271242,"8.4-8.7"
757,1,-1,0,1348,-1,,7,607271242,"8.4-8.7"
453,1,-1,1,1035,-1,,8,607271242,"8.4-8.7"
441,1,-1,0,1338,-1,,7,607271242,"8.4-8.7"
102,1,-1,1,1315,-1,,2,607271242,"8.4-8.7"
225,1,-1,0,0,5,,8,607271242,"8.4-8.7"
24,1,-1,3,35,-1,,7,607271242,"8.4-8.7"
41,1,-1,2,16,4,,4,607271242,"8.4-8.7"
202,1,-1,3,0,4,,8,607271242,"8.4-8.7"
293,1,-1,2,33,-1,,6,607271242,"8.4-8.7"
65,1,-1,0,37,-1,,3,607271242,"8.4-8.7"
865,1,-1,1,1545,-1,,7,607271242,"8.4-8.7"
136,1,-1,2,15,-1,,13,607271242,"8.4-8.7"
182,1,-1,1,1341,-1,,8,607271242,"8.4-8.7"
104,1,-1,1,1148,-1,,9,607271242,"8.4-8.7"
45,1,-1,0,13,10,,8,607271242,"8.4-8.7"
95,1,-1,0,1540,-1,,5,607271242,"8.4-8.7"
95,1,-1,3,40,-1,,4,607271242,"8.4-8.7"
661,1,-1,2,1540,-1,,6,607271242,"8.4-8.7"
371,1,-1,0,36,-1,,6,607271242,"8.4-8.7"
124,1,-1,2,1534,-1,,3,607271242,"8.4-8.7"
829,1,-1,0,1548,-1,,6,607271242,"8.4-8.7"
37,1,-1,0,17,5,,4,607271242,"8.4-8.7"
244,1,-1,0,1522,-1,,8,607271242,"8.4-8.7"
305,1,-1,0,0,8,,9,607271242,"8.4-8.7"
45,1,-1,1,13,10,,8,607271242,"8.4-8.7"
194,1,-1,1,40,-1,,8,607271242,"8.4-8.7"
103,1,-1,1,36,-1,,9,607271242,"8.4-8.7"
338,1,-1,99,19,-1,,6,607271242,"8.4-8.7"
288,1,-1,1,35,-1,,7,607271242,"8.4-8.7"
93,1,-1,0,1519,-1,,5,607271242,"8.4-8.7"
72,1,-1,0,1348,-1,,2,607271242,"8.4-8.7"
66,1,-1,1,1427,-1,,4,607271242,"8.4-8.7"
54,1,-1,2,40,-1,,1,607271242,"8.4-8.7"
138,1,-1,2,1248,-1,,4,607271242,"8.4-8.7"
140,1,-1,2,16,5,,8,607271242,"8.4-8.7"
35,1,-1,1,1023,-1,,9,607271242,"8.4-8.7"
59,1,-1,1,16,12,,2,607271242,"8.4-8.7"
71,1,-1,1,1445,-1,,2,607271242,"8.4-8.7"
172,1,-1,2,34,-1,,7,607271242,"8.4-8.7"
1262,1,-1,1,22,-1,,7,607271242,"8.4-8.7"
148,1,-1,0,17,-1,,13,607271242,"8.4-8.7"
21,1,-1,2,1233,-1,,5,607271242,"8.4-8.7"
52,1,-1,1,14,7,,4,607271242,"8.4-8.7"
30,1,-1,2,1318,-1,,4,607271242,"8.4-8.7"
55,1,-1,1,1533,-1,,5,607271242,"8.4-8.7"
493,1,-1,1,13,1,,6,607271242,"8.4-8.7"
685,1,-1,0,1519,-1,,7,607271242,"8.4-8.7"
81,1,-1,1,1535,-1,,9,607271242,"8.4-8.7"
56,1,-1,1,1426,-1,,1,607271242,"8.4-8.7"
38,1,-1,1,1020,-1,,5,607271242,"8.4-8.7"
36,1,-1,3,18,-1,,3,607271242,"8.4-8.7"
14,1,-1,1,1128,-1,,7,607271242,"8.4-8.7"
331,1,-1,1,35,-1,,6,607271242,"8.4-8.7"
82,1,-1,0,16,5,,1,607271242,"8.4-8.7"
165,1,-1,1,0,4,,8,607271242,"8.4-8.7"
56,1,-1,1,41,-1,,1,607271242,"8.4-8.7"
66,1,-1,2,34,-1,,4,607271242,"8.4-8.7"
58,1,-1,2,12,4,,4,607271242,"8.4-8.7"
50,1,-1,1,1044,-1,,5,607271242,"8.4-8.7"
87,1,-1,0,1538,-1,,4,607271242,"8.4-8.7"
21,1,-1,1,1020,-1,,2,607271242,"8.4-8.7"
127,1,-1,1,45,-1,,9,607271242,"8.4-8.7"
121,1,-1,1,1027,-1,,7,607271242,"8.4-8.7"
44,1,-1,1,1038,-1,,1,607271242,"8.4-8.7"
102,1,-1,1,1027,-1,,6,607271242,"8.4-8.7"
42,1,-1,1,1526,-1,,3,607271242,"8.4-8.7"
74,1,-1,0,0,2,,2,607271242,"8.4-8.7"
57,1,-1,0,1342,-1,,4,607271242,"8.4-8.7"
335,1,-1,1,1148,-1,,7,607271242,"8.4-8.7"
194,1,-1,0,19,-1,,8,607271242,"8.4-8.7"
181,1,-1,2,1243,-1,,9,607271242,"8.4-8.7"
164,1,-1,1,1426,-1,,7,607271242,"8.4-8.7"
240,1,-1,2,35,-1,,7,607271242,"8.4-8.7"
166,1,-1,1,1042,-1,,6,607271242,"8.4-8.7"
1223,1,-1,2,1547,-1,,7,607271242,"8.4-8.7"
976,1,-1,0,31,-1,,6,607271242,"8.4-8.7"
15,1,-1,99,1541,-1,,9,607271242,"8.4-8.7"
192,1,-1,1,1524,-1,,7,607271242,"8.4-8.7"
417,1,-1,0,13,1,,7,607271242,"8.4-8.7"
88,1,-1,3,1536,-1,,7,607271242,"8.4-8.7"
316,1,-1,99,44,-1,,6,607271242,"8.4-8.7"
50,1,-1,0,17,-1,,3,607271242,"8.4-8.7"
33,1,-1,1,1433,-1,,1,607271242,"8.4-8.7"
43,1,-1,1,1526,-1,,5,607271242,"8.4-8.7"
784,1,-1,1,1538,-1,,7,607271242,"8.4-8.7"
720,1,-1,0,0,11,,6,607271242,"8.4-8.7"
2,1,-1,3,0,2,,6,607271242,"8.4-8.7"
100,1,-1,2,15,-1,,3,607271242,"8.4-8.7"
166,1,-1,0,1319,-1,,8,607271242,"8.4-8.7"
3,1,-1,99,38,-1,,6,607271242,"8.4-8.7"
99,1,-1,0,1320,-1,,9,607271242,"8.4-8.7"
188,1,-1,2,44,-1,,8,607271242,"8.4-8.7"
131,1,-1,2,1237,-1,,4,607271242,"8.4-8.7"
114,1,-1,0,1341,-1,,9,607271242,"8.4-8.7"
60,1,-1,1,1332,-1,,3,607271242,"8.4-8.7"
96,1,-1,0,1339,-1,,3,607271242,"8.4-8.7"
52,1,-1,1,19,-1,,3,607271242,"8.4-8.7"
81,1,-1,0,16,1,,1,607271242,"8.4-8.7"
42,1,-1,2,1523,-1,,7,607271242,"8.4-8.7"
280,1,-1,1,14,1,,7,607271242,"8.4-8.7"
2,1,-1,3,42,-1,,6,607271242,"8.4-8.7"
1689,1,-1,0,0,8,,7,607271242,"8.4-8.7"
53,1,-1,2,17,1,,1,607271242,"8.4-8.7"
50,1,-1,2,42,-1,,3,607271242,"8.4-8.7"
135,1,-1,0,13,12,,2,607271242,"8.4-8.7"
5,1,-1,2,29,-1,,6,607271242,"8.4-8.7"
47,1,-1,0,1319,-1,,5,607271242,"8.4-8.7"
385,1,-1,1,36,-1,,7,607271242,"8.4-8.7"
849,1,-1,1,1548,-1,,7,607271242,"8.4-8.7"
37,1,-1,3,18,-1,,1,607271242,"8.4-8.7"
102,1,-1,1,16,8,,5,607271242,"8.4-8.7"
783,1,-1,1,1534,-1,,6,607271242,"8.4-8.7"
112,1,-1,3,17,1,,7,607271242,"8.4-8.7"
52,1,-1,2,1235,-1,,5,607271242,"8.4-8.7"
82,1,-1,1,1541,-1,,5,607271242,"8.4-8.7"
26,1,-1,1,1330,-1,,9,607271242,"8.4-8.7"
103,1,-1,0,16,-1,,5,607271242,"8.4-8.7"
16,1,-1,99,23,-1,,5,607271242,"8.4-8.7"
61,1,-1,1,1121,-1,,9,607271242,"8.4-8.7"
105,1,-1,1,15,-1,,5,607271242,"8.4-8.7"
93,1,-1,1,36,-1,,4,607271242,"8.4-8.7"
171,1,-1,1,15,-1,,12,607271242,"8.4-8.7"
59,1,-1,2,38,-1,,5,607271242,"8.4-8.7"
55,1,-1,2,38,-1,,3,607271242,"8.4-8.7"
29,1,-1,1,33,-1,,1,607271242,"8.4-8.7"
167,1,-1,1,1042,-1,,9,607271242,"8.4-8.7"
53,1,-1,1,1325,-1,,7,607271242,"8.4-8.7"
1190,1,-1,1,15,10,,7,607271242,"8.4-8.7"
312,1,-1,1,0,1,,6,607271242,"8.4-8.7"
161,1,-1,0,1331,-1,,9,607271242,"8.4-8.7"
89,1,-1,99,20,-1,,9,607271242,"8.4-8.7"
263,1,-1,1,14,10,,5,607271242,"8.4-8.7"
21,1,-1,2,33,-1,,4,607271242,"8.4-8.7"
44,1,-1,1,14,6,,2,607271242,"8.4-8.7"
88,1,-1,3,1536,-1,,3,607271242,"8.4-8.7"
175,1,-1,2,1541,-1,,8,607271242,"8.4-8.7"
55,1,-1,1,1440,-1,,3,607271242,"8.4-8.7"
94,1,-1,0,0,3,,9,607271242,"8.4-8.7"
3,1,-1,3,38,-1,,5,607271242,"8.4-8.7"
81,1,-1,1,1315,-1,,1,607271242,"8.4-8.7"
68,1,-1,0,1539,-1,,3,607271242,"8.4-8.7"
75,1,-1,1,1118,-1,,5,607271242,"8.4-8.7"
70,1,-1,1,1543,-1,,1,607271242,"8.4-8.7"
15,1,-1,99,1531,-1,,5,607271242,"8.4-8.7"
53,1,-1,1,1326,-1,,5,607271242,"8.4-8.7"
125,1,-1,1,1537,-1,,9,607271242,"8.4-8.7"
54,1,-1,0,27,-1,,3,607271242,"8.4-8.7"
107,1,-1,1,1444,-1,,9,607271242,"8.4-8.7"
278,1,-1,3,1538,-1,,9,607271242,"8.4-8.7"
143,1,-1,1,1545,-1,,8,607271242,"8.4-8.7"
69,1,-1,1,1035,-1,,5,607271242,"8.4-8.7"
54,1,-1,2,1227,-1,,1,607271242,"8.4-8.7"
60,1,-1,3,16,2,,7,607271242,"8.4-8.7"
836,1,-1,0,15,10,,6,607271242,"8.4-8.7"
37,1,-1,1,1035,-1,,2,607271242,"8.4-8.7"
71,1,-1,1,1448,-1,,2,607271242,"8.4-8.7"
116,1,-1,0,18,-1,,9,607271242,"8.4-8.7"
962,1,-1,1,15,5,,7,607271242,"8.4-8.7"
59,1,-1,1,24,-1,,5,607271242,"8.4-8.7"
65,1,-1,0,35,-1,,4,607271242,"8.4-8.7"
136,1,-1,0,1543,-1,,9,607271242,"8.4-8.7"
244,1,-1,1,16,11,,4,607271242,"8.4-8.7"
130,1,-1,1,13,-1,,9,607271242,"8.4-8.7"
340,1,-1,0,0,6,,6,607271242,"8.4-8.7"
90,1,-1,0,1521,-1,,9,607271242,"8.4-8.7"
24,1,-1,0,1325,-1,,1,607271242,"8.4-8.7"
3,1,-1,0,1333,-1,,1,607271242,"8.4-8.7"
102,1,-1,0,1315,-1,,2,607271242,"8.4-8.7"
75,1,-1,1,1435,-1,,9,607271242,"8.4-8.7"
65,1,-1,2,34,-1,,5,607271242,"8.4-8.7"
34,1,-1,0,1330,-1,,1,607271242,"8.4-8.7"
981,1,-1,2,1534,-1,,7,607271242,"8.4-8.7"
72,1,-1,1,1322,-1,,1,607271242,"8.4-8.7"
88,1,-1,0,36,-1,,4,607271242,"8.4-8.7"
180,1,-1,2,1547,-1,,5,607271242,"8.4-8.7"
431,1,-1,0,0,6,,7,607271242,"8.4-8.7"
331,1,-1,1,1140,-1,,6,607271242,"8.4-8.7"
14,1,-1,2,21,-1,,4,607271242,"8.4-8.7"
56,1,-1,1,1426,-1,,5,607271242,"8.4-8.7"
78,1,-1,0,17,2,,6,607271242,"8.4-8.7"
226,1,-1,2,1219,-1,,8,607271242,"8.4-8.7"
230,1,-1,1,1443,-1,,8,607271242,"8.4-8.7"
