InventoryID,ProjectID,CoCCode,HouseholdType,Availability,UnitInventory,BedInventory,CHVetBedInventory,YouthVetBedInventory,VetBedInventory,CHYouthBedInventory,YouthBedInventory,CHBedInventory,OtherBedInventory,ESBedType,InventoryStartDate,InventoryEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"IN123524","PSH148","XX-501",1,,22,22,0,0,0,0,0,0,22,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123525","RRH149","XX-501",1,,6,6,0,0,0,0,0,0,6,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123526","PSH120","XX-501",1,,20,20,0,0,20,0,0,0,0,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123527","NXS151","XX-501",1,1,19,19,0,0,0,0,0,0,19,1,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123528","NXS151","XX-501",3,1,5,5,0,0,0,0,0,0,5,1,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123529","RRH153","XX-501",1,,11,11,0,0,0,0,11,0,0,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123530","OPH115","XX-501",1,,114,114,0,0,114,0,0,0,0,,"2025-08-04","2027-08-03","2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123531","RRH154","XX-501",1,,27,27,0,0,0,0,0,0,27,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123532","RRH154","XX-501",3,,33,33,0,0,0,0,0,0,33,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123533","RRH157","XX-501",1,,29,29,0,0,0,0,0,0,29,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123534","RRH157","XX-501",3,,25,25,0,0,0,0,0,0,25,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123535","RRH158","XX-501",4,,3,3,0,0,0,0,0,0,3,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123536","RRH158","XX-501",1,,57,57,0,0,0,0,0,0,57,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123537","RRH158","XX-501",3,,41,41,0,0,0,0,0,0,41,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123538","RRH159","XX-501",1,,35,35,0,0,0,0,0,0,35,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123539","RRH159","XX-501",3,,11,11,0,0,0,0,0,0,11,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123540","RRH160","XX-501",1,,29,29,0,0,0,0,0,0,29,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123541","RRH160","XX-501",3,,41,41,0,0,0,0,0,0,41,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123542","RRH161","XX-501",1,,67,67,0,0,0,0,0,0,67,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123543","RRH161","XX-501",3,,21,21,0,0,0,0,0,0,21,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123544","PSH164","XX-501",1,,27,27,0,0,0,0,0,13,14,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123545","PSH165","XX-501",1,,15,15,0,0,0,0,0,0,15,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123546","PSH165","XX-501",3,,3,14,0,0,0,0,0,0,14,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123547","RRH169","XX-501",1,,11,11,0,0,0,0,0,0,11,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123548","RRH169","XX-501",3,,47,47,0,0,0,0,0,0,47,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123549","RRH170","XX-501",1,,15,15,0,0,0,0,0,0,15,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123550","RRH170","XX-501",3,,9,9,0,0,0,0,0,0,9,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123551","NBN171","XX-501",1,1,20,20,0,0,0,0,0,0,20,1,"2026-08-05",,"2026-07-30 14:02:30","2026-07-30 14:02:30",,,607271242
"IN123552","NXS173","XX-501",1,1,30,30,0,0,0,0,0,0,30,1,"2026-08-05",,"2026-07-30 14:02:30","2026-07-30 14:02:30",,,607271242
"IN123555","NXS113","XX-501",1,2,20,20,0,0,0,0,0,0,20,1,"2026-10-05","2027-01-03","2026-07-30 14:02:30","2026-07-30 14:02:30",,,607271242
"IN123556","NXS113","XX-501",1,3,10,10,0,0,0,0,0,0,10,1,"2026-10-05",,"2026-07-30 14:02:30","2026-07-30 14:02:30",,,607271242
"IN123557","RRH149","XX-501",3,,3,14,0,0,0,0,0,0,14,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123558","RRH155","XX-501",3,,4,13,0,0,0,0,0,0,13,,"2023-01-03",,"2023-05-18 17:27:14","2025-08-04 12:34:56",,,607271242
"IN123559","RRH156","XX-501",3,,5,17,0,0,0,0,0,0,17,,"2023-01-03",,"2023-05-18 17:30:19","2025-08-04 12:34:56",,,607271242
"IN123560","RRH156","XX-501",1,,10,12,0,0,0,0,0,0,12,,"2023-01-03",,"2023-05-18 17:30:19","2025-08-04 12:34:56",,,607271242
"IN123561","PSH180","XX-501",1,,70,70,70,0,0,0,0,0,0,,"2022-08-05",,"2022-08-05 12:34:56","2022-08-05 12:34:56",,,607271242
