HMISParticipationID,ProjectID,HMISParticipationType,HMISParticipationStatusStartDate,HMISParticipationStatusEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"HP123507","NXS103",1,"2004-07-01",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123508","TRN104",1,"2004-12-29",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123509","NXS106",1,"2005-12-24",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123510","NXS107",1,"2006-06-07",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123511","NXS108",1,"2006-06-07",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123513","NXS109",1,"2008-01-03",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123514","NXS110",1,"2009-01-26",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123515","NXS112",1,"2010-02-21",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123516","NXS111",1,"2010-01-21",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123517","NXS113",1,"2011-07-21",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123518","TRN117",1,"2013-06-16",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123519","TRN118",1,"2013-11-17",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123520","NBN105",1,"2005-08-29",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123521","NXS114",1,"2012-08-04",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123522","NXS102",1,"2004-05-15",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123523","PSH119",1,"2015-01-08",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123525","NBN171",0,"2026-08-05",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123526","NXS173",2,"2026-08-05",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123529","PSH180",1,"2022-08-05",,"2023-07-25 10:09:56","2023-07-25 10:09:56",,,607271242
