ExitID,EnrollmentID,PersonalID,ExitDate,Destination,DestinationSubsidyType,OtherDestination,HousingAssessment,SubsidyInformation,ProjectCompletionStatus,EarlyExitReason,ExchangeForSex,ExchangeForSexPastThreeMonths,CountOfExchangeForSex,AskedOrForcedToExchangeForSex,AskedOrForcedToExchangeForSexPastThreeMonths,WorkplaceViolenceThreats,WorkplacePromiseDifference,CoercedToContinueWork,LaborExploitPastThreeMonths,CounselingReceived,IndividualCounseling,FamilyCounseling,GroupCounseling,SessionCountAtExit,PostExitCounselingPlan,SessionsInPlan,DestinationSafeClient,DestinationSafeWorker,PosAdultConnections,PosPeerConnections,PosCommunityConnections,AftercareDate,AftercareProvided,EmailSocialMedia,Telephone,InPersonIndividual,InPersonGroup,CMExitReason,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"HAV13715907","HAV13715907","C26841",2025-04-08,435,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-27 00:00:00,2025-03-29 11:04:13,"HAV137U",,"LSAv8TestJul271308"
"HAV13717051","HAV13717051","C28233",2025-02-19,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-07 00:00:00,2025-02-15 14:16:38,"HAV137U",,"LSAv8TestJul271308"
"HAV13717081","HAV13717081","C28449",2024-10-22,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-25 00:00:00,2025-09-27 08:48:45,"HAV137U",,"LSAv8TestJul271308"
"HAV13717182","HAV13717182","C28815",2025-01-18,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-10 00:00:00,2025-01-12 12:39:40,"HAV137U",,"LSAv8TestJul271308"
"HAV13717385","HAV13717385","C28764",2025-01-10,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-29 00:00:00,2024-12-29 13:59:25,"HAV137U",,"LSAv8TestJul271308"
"HAV13717414","HAV13717414","C18102",2025-07-01,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-23 00:00:00,2025-06-27 13:34:45,"HAV137U",,"LSAv8TestJul271308"
"HAV13718326","HAV13718326","C29028",2025-08-15,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-03 00:00:00,2025-08-07 07:23:16,"HAV137U",,"LSAv8TestJul271308"
"HAV13718402","HAV13718402","C30528",2025-07-02,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-20 00:00:00,2025-06-20 16:43:15,"HAV137U",,"LSAv8TestJul271308"
"HAV13719120","HAV13719120","C15495",2025-04-06,435,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-05 00:00:00,2025-10-06 07:53:26,"HAV137U",,"LSAv8TestJul271308"
"HAV13719762","HAV13719762","C31461",2025-12-25,435,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-13 00:00:00,2025-12-14 07:35:56,"HAV137U",,"LSAv8TestJul271308"
"HAV13720655","HAV13720655","C30528",2025-08-15,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-03 00:00:00,2025-08-07 08:03:05,"HAV137U",,"LSAv8TestJul271308"
"HAV13720658","HAV13720658","C12018",2025-07-20,435,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-15 00:00:00,2026-02-15 15:05:01,"HAV137U",,"LSAv8TestJul271308"
"HAV13721313","HAV13721313","C19674",2026-03-08,435,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-24 00:00:00,2026-02-27 07:02:49,"HAV137U",,"LSAv8TestJul271308"
"HAV13721471","HAV13721471","C19677",2025-11-22,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-10 00:00:00,2025-11-13 08:15:20,"HAV137U",,"LSAv8TestJul271308"
"HAV13721912","HAV13721912","C19347",2026-03-04,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-20 00:00:00,2026-02-23 07:15:27,"HAV137U",,"LSAv8TestJul271308"
"HAV13721913","HAV13721913","C15204",2026-02-11,435,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-30 00:00:00,2026-01-31 07:51:46,"HAV137U",,"LSAv8TestJul271308"
"HAV13721922","HAV13721922","C24987",2025-09-19,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-16 00:00:00,2026-03-17 11:49:08,"HAV137U",,"LSAv8TestJul271308"
"HAV13721988","HAV13721988","C35553",2026-01-21,435,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-09 00:00:00,2026-01-10 07:56:48,"HAV137U",,"LSAv8TestJul271308"
"HAV13722286","HAV13722286","C35694",2026-03-11,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-27 00:00:00,2026-02-27 13:40:23,"HAV137U",,"LSAv8TestJul271308"
"HAV13722622","HAV13722622","C18150",2026-07-12,435,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12 00:00:00,2026-07-24 07:12:56,"HAV137U",,"LSAv8TestJul271308"
"HAV13723350","HAV13723350","C17211",2025-12-25,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-13 00:00:00,2025-12-14 07:34:03,"HAV137U",,"LSAv8TestJul271308"
"HAV13723848","HAV13723848","C37566",2026-06-27,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15 00:00:00,2026-06-16 08:26:18,"HAV137U",,"LSAv8TestJul271308"
"HAV13724125","HAV13724125","C21072",2026-06-17,435,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-05 00:00:00,2026-06-08 07:19:38,"HAV137U",,"LSAv8TestJul271308"
"HAV13724320","HAV13724320","C12747",2026-03-08,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-24 00:00:00,2026-02-27 06:35:18,"HAV137U",,"LSAv8TestJul271308"
"HAV13724782","HAV13724782","C28899",2026-01-18,435,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-13 00:00:00,2026-07-20 08:09:48,"HAV137U",,"LSAv8TestJul271308"
"HAV13727179","HAV13727179","C18102",2026-06-03,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-22 00:00:00,2026-05-22 11:02:46,"HAV137U",,"LSAv8TestJul271308"
"HAV13728525","HAV13728525","C18879",2026-08-05,17,,"Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-07 08:35:33,2026-08-07 08:35:33,"HAV137U",,"LSAv8TestJul271308"
"NBN10510401","NBN10510401","C20028",2023-09-16,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-04 00:00:00,2023-09-04 13:11:26,"NBN105U",,"LSAv8TestJul271308"
"NBN10510544","NBN10510544","C20550",2023-08-18,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-06 00:00:00,2023-08-06 22:41:51,"NBN105U",,"LSAv8TestJul271308"
"NBN10510545","NBN10510545","C20553",2023-09-23,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-11 00:00:00,2023-09-23 11:57:46,"NBN105U",,"LSAv8TestJul271308"
"NBN10510595","NBN10510595","C20673",2023-08-22,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 00:00:00,2023-08-20 12:29:20,"NBN105U",,"LSAv8TestJul271308"
"NBN10510629","NBN10510629","C20760",2023-09-08,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-27 00:00:00,2023-08-27 23:03:09,"NBN105U",,"LSAv8TestJul271308"
"NBN10510666","NBN10510666","C20781",2023-08-05,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-05 00:00:00,2023-09-23 11:34:56,"NBN105U",,"LSAv8TestJul271308"
"NBN10510670","NBN10510670","C13011",2023-08-08,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-08 00:00:00,2023-10-15 18:06:24,"NBN105U",,"LSAv8TestJul271308"
"NBN10510671","NBN10510671","C14883",2023-08-24,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-24 00:00:00,2023-08-28 03:57:00,"NBN105U",,"LSAv8TestJul271308"
"NBN10510719","NBN10510719","C16494",2023-09-16,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-04 00:00:00,2023-09-04 14:21:28,"NBN105U",,"LSAv8TestJul271308"
"NBN10510745","NBN10510745","C15195",2023-08-17,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-05 00:00:00,2023-08-17 18:06:26,"NBN105U",,"LSAv8TestJul271308"
"NBN10510752","NBN10510752","C20934",2023-10-17,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-05 00:00:00,2024-08-25 18:49:41,"NBN105U",,"LSAv8TestJul271308"
"NBN10510753","NBN10510753","C13671",2023-10-17,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-05 00:00:00,2024-08-25 18:49:41,"NBN105U",,"LSAv8TestJul271308"
"NBN10510754","NBN10510754","C13674",2023-10-17,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-05 00:00:00,2024-08-25 18:49:41,"NBN105U",,"LSAv8TestJul271308"
"NBN10510755","NBN10510755","C20940",2023-08-07,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-07 00:00:00,2023-08-18 14:01:10,"NBN105U",,"LSAv8TestJul271308"
"NBN10510756","NBN10510756","C12390",2023-08-29,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-29 00:00:00,2023-08-29 14:33:11,"NBN105U",,"LSAv8TestJul271308"
"NBN10510765","NBN10510765","C20952",2023-09-01,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-20 00:00:00,2023-08-21 16:30:44,"NBN105U",,"LSAv8TestJul271308"
"NBN10510782","NBN10510782","C17853",2023-08-29,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-17 00:00:00,2023-08-20 11:25:32,"NBN105U",,"LSAv8TestJul271308"
"NBN10510783","NBN10510783","C20763",2023-08-19,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-07 00:00:00,2023-08-18 13:58:55,"NBN105U",,"LSAv8TestJul271308"
"NBN10510789","NBN10510789","C20499",2023-09-24,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-24 00:00:00,2023-09-24 23:09:58,"NBN105U",,"LSAv8TestJul271308"
"NBN10510801","NBN10510801","C11037",2023-08-22,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-22 00:00:00,2023-08-23 08:47:36,"NBN105U",,"LSAv8TestJul271308"
"NBN10510802","NBN10510802","C13350",2023-08-22,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-22 00:00:00,2023-08-23 08:47:36,"NBN105U",,"LSAv8TestJul271308"
"NBN10510803","NBN10510803","C14898",2023-08-22,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-22 00:00:00,2023-08-23 08:47:36,"NBN105U",,"LSAv8TestJul271308"
"NBN10510804","NBN10510804","C11091",2023-10-17,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-05 00:00:00,2024-08-25 18:49:41,"NBN105U",,"LSAv8TestJul271308"
"NBN10510805","NBN10510805","C13011",2023-10-01,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-19 00:00:00,2023-09-23 12:04:42,"NBN105U",,"LSAv8TestJul271308"
"NBN10510821","NBN10510821","C19263",2023-09-16,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-04 00:00:00,2023-09-07 17:20:44,"NBN105U",,"LSAv8TestJul271308"
"NBN10510840","NBN10510840","C21141",2023-09-25,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-25 00:00:00,2023-10-07 16:05:37,"NBN105U",,"LSAv8TestJul271308"
"NBN10510847","NBN10510847","C21123",2023-10-22,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-10 00:00:00,2023-10-15 14:25:16,"NBN105U",,"LSAv8TestJul271308"
"NBN10510861","NBN10510861","C12396",2023-09-04,17,,"Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-04 00:00:00,2023-09-04 22:42:20,"NBN105U",,"LSAv8TestJul271308"
"NBN10510862","NBN10510862","C21126",2023-09-04,17,,"Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-04 00:00:00,2023-09-04 22:42:20,"NBN105U",,"LSAv8TestJul271308"
"NBN10510863","NBN10510863","C20505",2023-10-08,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-26 00:00:00,2023-10-03 15:20:57,"NBN105U",,"LSAv8TestJul271308"
"NBN10510864","NBN10510864","C11043",2023-09-20,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-08 00:00:00,2023-09-08 16:55:22,"NBN105U",,"LSAv8TestJul271308"
"NBN10510880","NBN10510880","C21180",2024-01-27,435,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-15 00:00:00,2024-01-16 03:11:02,"NBN105U",,"LSAv8TestJul271308"
"NBN10510884","NBN10510884","C19527",2023-09-27,435,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-15 00:00:00,2023-09-23 11:29:14,"NBN105U",,"LSAv8TestJul271308"
"NBN10510889","NBN10510889","C21204",2023-09-07,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-26 00:00:00,2023-09-01 14:27:11,"NBN105U",,"LSAv8TestJul271308"
"NBN10510896","NBN10510896","C17532",2023-10-07,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-25 00:00:00,2023-10-03 15:17:27,"NBN105U",,"LSAv8TestJul271308"
"NBN10510898","NBN10510898","C14919",2023-09-05,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-24 00:00:00,2023-08-24 10:47:14,"NBN105U",,"LSAv8TestJul271308"
"NBN10510911","NBN10510911","C21207",2023-10-29,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-17 00:00:00,2023-10-18 04:16:53,"NBN105U",,"LSAv8TestJul271308"
"NBN10510912","NBN10510912","C13164",2023-08-25,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-25 00:00:00,2023-08-27 20:25:09,"NBN105U",,"LSAv8TestJul271308"
"NBN10510918","NBN10510918","C20454",2023-09-16,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-04 00:00:00,2024-03-11 10:37:17,"NBN105U",,"LSAv8TestJul271308"
"NBN10510919","NBN10510919","C19464",2023-09-11,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-30 00:00:00,2023-09-01 12:09:34,"NBN105U",,"LSAv8TestJul271308"
"NBN10510938","NBN10510938","C14949",2023-09-15,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-15 00:00:00,2023-10-14 16:39:09,"NBN105U",,"LSAv8TestJul271308"
"NBN10510956","NBN10510956","C20466",2023-09-08,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-27 00:00:00,2023-09-01 16:00:32,"NBN105U",,"LSAv8TestJul271308"
"NBN10510957","NBN10510957","C20937",2023-09-08,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-27 00:00:00,2023-09-01 15:59:47,"NBN105U",,"LSAv8TestJul271308"
"NBN10510965","NBN10510965","C20967",2023-09-06,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-29 00:00:00,2023-08-29 16:37:06,"NBN105U",,"LSAv8TestJul271308"
"NBN10510966","NBN10510966","C18486",2023-09-07,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-07 00:00:00,2023-09-08 16:52:00,"NBN105U",,"LSAv8TestJul271308"
"NBN10510969","NBN10510969","C13164",2023-09-08,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-08 00:00:00,2023-09-09 17:01:18,"NBN105U",,"LSAv8TestJul271308"
"NBN10510973","NBN10510973","C15660",2023-08-31,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-31 00:00:00,2023-09-01 11:37:31,"NBN105U",,"LSAv8TestJul271308"
"NBN10510974","NBN10510974","C14883",2023-09-18,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-06 00:00:00,2023-09-07 16:56:15,"NBN105U",,"LSAv8TestJul271308"
"NBN10510975","NBN10510975","C20547",2023-10-10,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-10 00:00:00,2023-10-10 21:52:48,"NBN105U",,"LSAv8TestJul271308"
"NBN10510981","NBN10510981","C21288",2023-11-04,435,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 00:00:00,2023-11-01 16:48:43,"NBN105U",,"LSAv8TestJul271308"
"NBN10510982","NBN10510982","C12390",2023-09-25,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-13 00:00:00,2023-09-23 12:00:32,"NBN105U",,"LSAv8TestJul271308"
"NBN10511014","NBN10511014","C21459",2023-11-02,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-21 00:00:00,2023-11-12 10:59:35,"NBN105U",,"LSAv8TestJul271308"
"NBN10511015","NBN10511015","C20991",2023-10-07,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-25 00:00:00,2023-09-25 04:24:17,"NBN105U",,"LSAv8TestJul271308"
"NBN10511019","NBN10511019","C18630",2023-09-18,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-06 00:00:00,2023-09-07 17:13:47,"NBN105U",,"LSAv8TestJul271308"
"NBN10511043","NBN10511043","C18699",2023-09-13,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-05 00:00:00,2023-09-08 16:31:46,"NBN105U",,"LSAv8TestJul271308"
"NBN10511044","NBN10511044","C16638",2023-10-23,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 00:00:00,2023-11-08 01:38:45,"NBN105U",,"LSAv8TestJul271308"
"NBN10511067","NBN10511067","C20736",2023-09-13,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-13 00:00:00,2023-11-18 15:00:36,"NBN105U",,"LSAv8TestJul271308"
"NBN10511071","NBN10511071","C12396",2023-11-11,435,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-30 00:00:00,2023-11-07 16:22:41,"NBN105U",,"LSAv8TestJul271308"
"NBN10511072","NBN10511072","C21126",2023-11-11,435,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-30 00:00:00,2023-11-07 16:22:41,"NBN105U",,"LSAv8TestJul271308"
"NBN10511083","NBN10511083","C19461",2023-09-21,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-09 00:00:00,2023-09-10 13:49:33,"NBN105U",,"LSAv8TestJul271308"
"NBN10511084","NBN10511084","C21567",2023-10-21,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-09 00:00:00,2023-10-14 18:15:37,"NBN105U",,"LSAv8TestJul271308"
"NBN10511116","NBN10511116","C21570",2023-09-26,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-18 00:00:00,2023-12-19 13:16:45,"NBN105U",,"LSAv8TestJul271308"
"NBN10511127","NBN10511127","C18486",2023-09-30,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-30 00:00:00,2023-10-06 18:00:36,"NBN105U",,"LSAv8TestJul271308"
"NBN10511134","NBN10511134","C21684",2023-09-22,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-10 00:00:00,2023-12-18 09:53:20,"NBN105U",,"LSAv8TestJul271308"
"NBN10511136","NBN10511136","C19023",2023-09-26,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-14 00:00:00,2023-10-03 15:26:17,"NBN105U",,"LSAv8TestJul271308"
"NBN10511137","NBN10511137","C19956",2023-09-25,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-25 00:00:00,2023-11-24 15:54:35,"NBN105U",,"LSAv8TestJul271308"
"NBN10511139","NBN10511139","C22401",2023-11-15,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-03 00:00:00,2023-11-06 18:00:18,"NBN105U",,"LSAv8TestJul271308"
"NBN10511150","NBN10511150","C13164",2023-09-11,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-11 00:00:00,2024-05-13 05:48:11,"NBN105U",,"LSAv8TestJul271308"
"NBN10511151","NBN10511151","C21186",2023-09-17,17,,"Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-17 00:00:00,2023-09-17 21:00:23,"NBN105U",,"LSAv8TestJul271308"
"NBN10511152","NBN10511152","C18147",2023-10-06,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-06 00:00:00,2023-10-06 18:03:29,"NBN105U",,"LSAv8TestJul271308"
