ProjectID,OrganizationID,ProjectName,ProjectCommonName,OperatingStartDate,OperatingEndDate,ContinuumProject,ProjectType,HousingType,RRHSubType,ResidentialAffiliation,TargetPopulation,HOPWAMedAssistedLivingFac,PITCount,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"NXS112","K18","Kindness Entry-Exit Shelter",,2010-02-21,,1,0,1,,,4,2,,2010-02-21 15:14:51,2021-08-15 11:19:32,"HMISAdmin",,"LSAv8TestAug011223"
"NXS113","D12","Dream Entry-Exit Shelter",,2011-07-21,,1,0,1,,,4,2,,2011-07-21 09:07:41,2024-11-29 13:27:26,"HMISAdmin",,"LSAv8TestAug011223"
"NXS114","N30","Nurturing Entry-Exit Shelter",,2012-08-04,,1,0,1,,,4,2,,2004-05-14 15:38:15,2022-04-02 13:30:54,"HMISAdmin",,"LSAv8TestAug011223"
"NXS116","V28","Visionary Entry-Exit Shelter 1",,2012-11-05,,1,0,1,,,4,2,,2017-11-03 11:10:43,2024-03-08 09:58:52,"HMISAdmin",,"LSAv8TestAug011223"
"NXS125","G15","Green Entry-Exit Shelter",,2017-09-04,2025-08-03,1,0,1,,,4,2,,2007-09-15 15:19:46,2021-08-15 11:29:48,"HMISAdmin",,"LSAv8TestAug011223"
"NXS127","M13","Motivated Entry-Exit Shelter",,2017-11-10,,1,0,1,,,4,2,,2017-11-10 08:48:24,2021-08-15 11:31:15,"HMISAdmin",,"LSAv8TestAug011223"
"NXS128","W29","Wellness Entry-Exit Shelter 2",,2017-12-29,2025-08-03,1,0,1,,,4,2,,2017-12-29 07:36:32,2021-08-15 10:01:10,"HMISAdmin",,"LSAv8TestAug011223"
"NXS129","V28","Visionary Entry-Exit Shelter 2",,2018-01-20,,1,0,3,,,3,2,,2018-01-20 10:48:36,2021-08-15 11:38:34,"HMISAdmin",,"LSAv8TestAug011223"
"NXS130","F14","Friendly Entry-Exit Shelter",,2019-05-01,2025-08-03,1,0,1,,,4,2,,2019-05-01 09:18:54,2023-09-24 15:52:14,"HMISAdmin",,"LSAv8TestAug011223"
"NXS135","T26","Team Entry-Exit Shelter",,2020-01-24,,1,0,1,,,4,2,,2020-01-24 10:57:27,2025-06-18 12:16:04,"HMISAdmin",,"LSAv8TestAug011223"
"NXS138","M20","Mindful Entry-Exit Shelter",,2020-08-05,,1,0,1,,,4,2,,2020-08-16 13:16:46,2022-01-21 11:56:20,"HMISAdmin",,"LSAv8TestAug011223"
"NXS147","Q23","Quality Entry-Exit Shelter",,2021-10-02,,1,0,3,,,4,2,,2021-10-02 13:53:52,2024-11-29 13:29:20,"HMISAdmin",,"LSAv8TestAug011223"
"NXS151","W29","Wellness Entry-Exit Shelter 3",,2021-11-24,,1,0,1,,,4,2,,2022-01-29 09:19:27,2024-12-22 14:44:37,"HMISAdmin",,"LSAv8TestAug011223"
"NXS172","L37","Lasting Entry-Exit Shelter 1",,2026-08-05,2025-08-03,1,0,1,,,1,2,,2026-07-30 14:02:31,2026-07-30 14:02:31,"HMISAdmin",,"LSAv8TestAug011223"
"NXS173","L37","Lasting Entry-Exit Shelter 2",,2026-08-05,,1,0,1,,,1,2,,2026-07-30 14:02:31,2026-07-30 14:02:31,"HMISAdmin",,"LSAv8TestAug011223"
"NXS174","J36","Just Entry-Exit Shelter",,2027-02-17,2025-08-03,1,0,1,,,4,2,,2026-07-30 14:02:31,2026-07-30 14:02:31,"HMISAdmin",,"LSAv8TestAug011223"
"OPH115","R24","Resourceful Permanent Housing",,2012-09-02,,1,9,3,,,4,2,,2022-08-26 14:32:43,2024-11-25 08:23:45,"HMISAdmin",,"LSAv8TestAug011223"
"OPH136","Z31","Zealous Permanent Housing",,2020-05-21,2025-08-03,1,9,3,,,4,2,,2020-05-21 12:12:38,2024-03-09 16:40:23,"HMISAdmin",,"LSAv8TestAug011223"
"OPH144","H16","Hope Permanent Housing 1",,2020-11-23,2025-08-03,1,10,1,,,4,2,,2020-11-23 12:56:24,2024-11-29 11:46:32,"HMISAdmin",,"LSAv8TestAug011223"
"OPH145","H16","Hope Permanent Housing 2",,2021-08-04,2025-08-03,1,10,1,,,4,2,,2021-06-13 08:30:14,2024-03-09 15:13:58,"HMISAdmin",,"LSAv8TestAug011223"
"OPH163","K18","Kindness Permanent Housing",,2023-08-05,2025-08-03,1,9,3,,,4,2,,2023-09-01 08:36:39,2024-10-17 17:55:53,"HMISAdmin",,"LSAv8TestAug011223"
"OPH168","F14","Friendly Permanent Housing",,2025-03-09,2025-08-03,1,9,2,,,4,2,,2025-03-09 09:23:12,2025-03-09 10:00:10,"HMISAdmin",,"LSAv8TestAug011223"
"PSH119","N21","Neighborly Permanent Supportive Housing",,2015-01-08,,1,3,3,,,4,2,,2015-01-08 15:42:44,2024-02-16 15:43:33,"HMISAdmin",,"LSAv8TestAug011223"
"PSH120","G15","Green Permanent Supportive Housing 1",,2015-08-09,,1,3,3,,,4,2,,2022-01-27 15:16:16,2024-11-25 08:19:51,"HMISAdmin",,"LSAv8TestAug011223"
"PSH148","J17","Joyful Permanent Supportive Housing",,2021-11-04,,1,3,1,,,4,2,,2021-10-14 08:41:54,2024-10-13 18:13:17,"HMISAdmin",,"LSAv8TestAug011223"
"PSH164","G15","Green Permanent Supportive Housing 2",,2023-11-24,,1,3,2,,,3,2,,2023-11-24 15:35:34,2024-10-13 18:16:52,"HMISAdmin",,"LSAv8TestAug011223"
"PSH165","N30","Nurturing Permanent Supportive Housing",,2023-12-10,,1,3,1,,,4,2,,2023-12-10 14:59:53,2024-06-14 16:21:21,"HMISAdmin",,"LSAv8TestAug011223"
"PSH180","P22","Peaceful Permanent Supportive Housing",,2022-08-05,,1,3,3,,,4,2,,2023-07-25 10:09:56,2023-07-25 10:09:56,"HMISAdmin",,"LSAv8TestAug011223"
"RRH121","S25","Safe Rapid Re-Housing",,2015-11-05,,1,13,3,2,,4,2,,2015-11-26 09:58:28,2021-08-15 11:41:15,"HMISAdmin",,"LSAv8TestAug011223"
"RRH122","I35","Inspired Rapid Re-Housing 1",,2017-08-02,,1,13,3,2,,4,2,,2017-08-02 09:02:07,2021-08-15 09:54:19,"HMISAdmin",,"LSAv8TestAug011223"
"RRH123","H34","Harmonious Rapid Re-Housing",,2017-08-02,,1,13,3,2,,4,2,,2017-08-02 09:29:34,2021-08-15 10:16:51,"HMISAdmin",,"LSAv8TestAug011223"
"RRH124","U27","United Rapid Re-Housing 1",,2017-08-02,,1,13,3,2,,4,2,,2017-08-02 09:32:26,2023-02-09 10:15:52,"HMISAdmin",,"LSAv8TestAug011223"
"RRH126","P22","Peaceful Rapid Re-Housing",,2017-11-04,,1,13,3,2,,4,2,,2018-02-18 11:26:58,2021-08-15 10:12:20,"HMISAdmin",,"LSAv8TestAug011223"
"RRH131","G15","Green Rapid Re-Housing 1",,2019-07-20,,1,13,3,2,,4,2,,2019-07-20 13:18:32,2023-11-02 15:30:48,"HMISAdmin",,"LSAv8TestAug011223"
"RRH132","I35","Inspired Rapid Re-Housing 2",,2019-11-02,,1,13,3,2,,4,2,,2019-11-02 10:20:16,2024-10-13 17:51:21,"HMISAdmin",,"LSAv8TestAug011223"
"RRH133","I35","Inspired Rapid Re-Housing 3",,2019-11-29,,1,13,3,2,,4,2,,2019-11-29 11:54:48,2021-08-15 10:12:54,"HMISAdmin",,"LSAv8TestAug011223"
"RRH140","K18","Kindness Rapid Re-Housing",,2020-10-30,,1,13,3,2,,4,2,,2020-10-30 15:25:20,2024-10-13 17:23:29,"HMISAdmin",,"LSAv8TestAug011223"
"RRH141","M20","Mindful Rapid Re-Housing",,2020-11-05,,1,13,3,2,,4,2,,2020-11-08 15:36:29,2023-04-27 11:40:31,"HMISAdmin",,"LSAv8TestAug011223"
"RRH142","Q23","Quality Rapid Re-Housing",,2020-11-05,2025-08-03,1,13,3,2,,4,2,,2020-08-30 10:34:29,2022-11-19 10:38:32,"HMISAdmin",,"LSAv8TestAug011223"
"RRH143","W29","Wellness Rapid Re-Housing",,2020-11-05,,1,13,3,2,,4,2,,2020-08-30 12:48:07,2024-03-08 09:59:33,"HMISAdmin",,"LSAv8TestAug011223"
"RRH149","F14","Friendly Rapid Re-Housing",,2021-11-04,,1,13,3,2,,4,2,,2021-12-23 09:24:22,2024-10-13 17:51:40,"HMISAdmin",,"LSAv8TestAug011223"
"RRH150","H16","Hope Rapid Re-Housing",,2021-11-04,2025-08-03,1,13,3,2,,4,2,,2022-05-12 14:30:48,2022-11-27 11:33:22,"HMISAdmin",,"LSAv8TestAug011223"
"RRH153","C11","Caring Rapid Re-Housing",,2022-07-06,,1,13,3,2,,4,2,,2022-05-05 10:38:34,2022-06-26 14:49:53,"HMISAdmin",,"LSAv8TestAug011223"
"RRH154","N30","Nurturing Rapid Re-Housing",,2022-11-05,,1,13,3,2,,4,2,,2022-11-19 10:37:58,2024-10-13 18:26:08,"HMISAdmin",,"LSAv8TestAug011223"
"RRH155","J17","Joyful Rapid Re-Housing",,2023-01-03,,1,13,3,2,,4,2,,2023-05-18 17:27:14,2023-08-23 09:53:32,"HMISAdmin",,"LSAv8TestAug011223"
"RRH156","N21","Neighborly Rapid Re-Housing",,2023-01-03,,1,13,3,2,,4,2,,2023-05-18 17:30:19,2023-08-23 09:56:15,"HMISAdmin",,"LSAv8TestAug011223"
"RRH157","T26","Team Rapid Re-Housing 2",,2023-01-03,,1,13,3,2,,4,2,,2023-05-19 12:27:42,2023-08-26 19:16:01,"HMISAdmin",,"LSAv8TestAug011223"
"RRH158","U27","United Rapid Re-Housing 2",,2023-01-03,,1,13,3,2,,4,2,,2023-05-20 13:23:03,2023-08-23 09:50:43,"HMISAdmin",,"LSAv8TestAug011223"
"RRH159","U27","United Rapid Re-Housing 3",,2023-01-03,,1,13,3,2,,4,2,,2023-05-26 12:32:52,2023-08-26 19:11:32,"HMISAdmin",,"LSAv8TestAug011223"
"RRH160","T26","Team Rapid Re-Housing 3",,2023-01-03,,1,13,3,2,,4,2,,2023-05-28 15:14:43,2023-08-26 19:12:45,"HMISAdmin",,"LSAv8TestAug011223"
"RRH161","G15","Green Rapid Re-Housing 2",,2023-01-03,,1,13,3,2,,4,2,,2023-07-13 16:24:07,2023-08-26 19:01:51,"HMISAdmin",,"LSAv8TestAug011223"
"RRH162","L19","Loving Rapid Re-Housing 1",,2023-01-03,2025-05-03,1,13,3,2,,4,2,,2023-08-23 15:51:54,2023-08-25 11:22:07,"HMISAdmin",,"LSAv8TestAug011223"
"RRH169","L19","Loving Rapid Re-Housing 2",,2025-04-03,,1,13,3,2,,4,2,,2025-04-03 16:00:46,2025-07-30 12:50:39,"HMISAdmin",,"LSAv8TestAug011223"
"RRH170","C32","Compassionate Rapid Re-Housing",,2025-04-04,,1,13,3,2,,4,2,,2025-04-04 10:47:32,2025-07-30 12:58:47,"HMISAdmin",,"LSAv8TestAug011223"
"RSO152","D33","Dynamic Rapid Re-Housing Services",,2022-04-14,,1,13,,1,0,4,2,,2022-04-14 07:32:23,2024-10-13 17:39:39,"HMISAdmin",,"LSAv8TestAug011223"
"TRN104","T26","Team Transitional Housing",,2004-12-29,,1,2,1,,,4,2,,2004-12-29 15:43:20,2025-01-26 09:12:05,"HMISAdmin",,"LSAv8TestAug011223"
"TRN117","D33","Dynamic Transitional Housing",,2013-06-16,,1,2,1,,,4,2,,2013-06-16 15:41:16,2021-08-15 11:46:36,"HMISAdmin",,"LSAv8TestAug011223"
"TRN118","L19","Loving Transitional Housing",,2013-11-17,,1,2,1,,,3,2,,2013-11-17 14:12:22,2023-04-23 11:53:30,"HMISAdmin",,"LSAv8TestAug011223"
"TRN146","C11","Caring Transitional Housing",,2021-08-04,,1,2,2,,,4,2,,2021-07-15 14:01:16,2022-08-05 09:19:28,"HMISAdmin",,"LSAv8TestAug011223"
"TRN166","C32","Compassionate Transitional Housing",,2024-03-11,2025-08-03,1,2,2,,,4,2,,2024-03-11 15:43:51,2025-06-12 16:20:06,"HMISAdmin",,"LSAv8TestAug011223"
