CEParticipationID,ProjectID,AccessPoint,PreventionAssessment,CrisisAssessment,HousingAssessment,DirectServices,ReceivesReferrals,CEParticipationStatusStartDate,CEParticipationStatusEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"CP123500","PSH148",0,0,0,0,0,0,2021-11-04,,2021-10-14 08:41:54,2024-10-13 18:13:17,"HMISAdmin",,"LSAv8TestJul271308"
"CP123501","RRH149",0,0,0,0,0,0,2021-11-04,,2021-12-23 09:24:22,2024-10-13 17:51:40,"HMISAdmin",,"LSAv8TestJul271308"
"CP123502","PSH120",0,0,0,0,0,0,2015-08-09,,2022-01-27 15:16:16,2024-11-25 08:19:51,"HMISAdmin",,"LSAv8TestJul271308"
"CP123503","NXS151",0,0,0,0,0,0,2021-11-24,,2022-01-29 09:19:27,2024-12-22 14:44:37,"HMISAdmin",,"LSAv8TestJul271308"
"CP123504","RSO152",0,0,0,0,0,0,2022-04-14,,2022-04-14 07:32:23,2024-10-13 17:39:39,"HMISAdmin",,"LSAv8TestJul271308"
"CP123505","RRH153",0,0,0,0,0,0,2022-07-06,,2022-05-05 10:38:34,2022-06-26 14:49:53,"HMISAdmin",,"LSAv8TestJul271308"
"CP123506","RRH150",0,0,0,0,0,0,2021-11-04,,2022-05-12 14:30:48,2022-11-27 11:33:22,"HMISAdmin",,"LSAv8TestJul271308"
"CP123507","OPH115",0,0,0,0,0,0,2012-09-02,,2022-08-26 14:32:43,2024-11-25 08:23:45,"HMISAdmin",,"LSAv8TestJul271308"
"CP123508","RRH154",0,0,0,0,0,0,2022-11-05,,2022-11-19 10:37:58,2024-10-13 18:26:08,"HMISAdmin",,"LSAv8TestJul271308"
"CP123509","RRH155",0,0,0,0,0,0,2023-01-03,,2023-05-18 17:27:14,2023-08-23 09:53:32,"HMISAdmin",,"LSAv8TestJul271308"
"CP123510","RRH156",0,0,0,0,0,0,2023-01-03,,2023-05-18 17:30:19,2023-08-23 09:56:15,"HMISAdmin",,"LSAv8TestJul271308"
"CP123511","RRH157",0,0,0,0,0,0,2023-01-03,,2023-05-19 12:27:42,2023-08-26 19:16:01,"HMISAdmin",,"LSAv8TestJul271308"
"CP123512","RRH158",0,0,0,0,0,0,2023-01-03,,2023-05-20 13:23:03,2023-08-23 09:50:43,"HMISAdmin",,"LSAv8TestJul271308"
"CP123513","RRH159",0,0,0,0,0,0,2023-01-03,,2023-05-26 12:32:52,2023-08-26 19:11:32,"HMISAdmin",,"LSAv8TestJul271308"
"CP123514","RRH160",0,0,0,0,0,0,2023-01-03,,2023-05-28 15:14:43,2023-08-26 19:12:45,"HMISAdmin",,"LSAv8TestJul271308"
"CP123515","RRH161",0,0,0,0,0,0,2023-01-03,,2023-07-13 16:24:07,2023-08-26 19:01:51,"HMISAdmin",,"LSAv8TestJul271308"
"CP123516","RRH162",0,0,0,0,0,0,2023-01-03,,2023-08-23 15:51:54,2023-08-25 11:22:07,"HMISAdmin",,"LSAv8TestJul271308"
"CP123517","OPH163",0,0,0,0,0,0,2023-08-05,,2023-09-01 08:36:39,2024-10-17 17:55:53,"HMISAdmin",,"LSAv8TestJul271308"
"CP123518","PSH164",0,0,0,0,0,0,2023-11-24,,2023-11-24 15:35:34,2024-10-13 18:16:52,"HMISAdmin",,"LSAv8TestJul271308"
"CP123519","PSH165",0,0,0,0,0,0,2023-12-10,,2023-12-10 14:59:53,2024-06-14 16:21:21,"HMISAdmin",,"LSAv8TestJul271308"
"CP123520","TRN166",0,0,0,0,0,0,2024-03-11,,2024-03-11 15:43:51,2025-06-12 16:20:06,"HMISAdmin",,"LSAv8TestJul271308"
"CP123521","HAV167",0,0,0,0,0,0,2024-06-05,,2024-07-06 10:37:23,2024-10-17 17:54:53,"HMISAdmin",,"LSAv8TestJul271308"
"CP123522","OPH168",0,0,0,0,0,0,2025-03-09,,2025-03-09 09:23:12,2025-03-09 10:00:10,"HMISAdmin",,"LSAv8TestJul271308"
"CP123523","RRH169",0,0,0,0,0,0,2025-04-03,,2025-04-03 16:00:46,2025-07-30 12:50:39,"HMISAdmin",,"LSAv8TestJul271308"
"CP123524","RRH170",0,0,0,0,0,0,2025-04-04,,2025-04-04 10:47:32,2025-07-30 12:58:47,"HMISAdmin",,"LSAv8TestJul271308"
"CP123459","NXS103",0,0,0,0,0,0,2004-07-01,,2004-07-01 14:04:40,2023-11-08 12:28:32,"HMISAdmin",,"LSAv8TestJul271308"
"CP123460","TRN104",0,0,0,0,0,0,2004-12-29,,2004-12-29 15:43:20,2025-01-26 09:12:05,"HMISAdmin",,"LSAv8TestJul271308"
"CP123461","NXS106",0,0,0,0,0,0,2005-12-24,,2005-12-24 15:05:42,2024-12-08 12:38:22,"HMISAdmin",,"LSAv8TestJul271308"
"CP123462","NXS107",0,0,0,0,0,0,2006-06-07,,2006-06-07 14:35:30,2021-11-25 12:01:50,"HMISAdmin",,"LSAv8TestJul271308"
"CP123463","NXS108",0,0,0,0,0,0,2006-06-07,,2006-06-07 16:44:07,2021-08-15 11:19:09,"HMISAdmin",,"LSAv8TestJul271308"
"CP123464","NXS125",0,0,0,0,0,0,2017-09-04,,2007-09-15 15:19:46,2021-08-15 11:29:48,"HMISAdmin",,"LSAv8TestJul271308"
"CP123465","NXS109",0,0,0,0,0,0,2008-01-03,,2008-01-03 15:23:51,2021-08-15 11:11:54,"HMISAdmin",,"LSAv8TestJul271308"
"CP123466","NXS110",0,0,0,0,0,0,2009-01-26,,2009-01-26 12:50:21,2021-08-15 11:21:16,"HMISAdmin",,"LSAv8TestJul271308"
"CP123467","NXS112",0,0,0,0,0,0,2010-02-21,,2010-02-21 15:14:51,2021-08-15 11:19:32,"HMISAdmin",,"LSAv8TestJul271308"
"CP123468","NXS111",0,0,0,0,0,0,2010-01-21,,2010-04-23 10:48:08,2024-03-08 09:59:44,"HMISAdmin",,"LSAv8TestJul271308"
"CP123469","NXS113",0,0,0,0,0,0,2011-07-21,,2011-07-21 09:07:41,2024-11-29 13:27:26,"HMISAdmin",,"LSAv8TestJul271308"
"CP123470","TRN117",0,0,0,0,0,0,2013-06-16,,2013-06-16 15:41:16,2021-08-15 11:46:36,"HMISAdmin",,"LSAv8TestJul271308"
"CP123471","TRN118",0,0,0,0,0,0,2013-11-17,,2013-11-17 14:12:22,2023-04-23 11:53:30,"HMISAdmin",,"LSAv8TestJul271308"
"CP123456","NBN105",0,0,0,0,0,0,2005-08-29,,2004-05-03 15:25:09,2025-04-30 14:05:59,"HMISAdmin",,"LSAv8TestJul271308"
"CP123457","NXS114",0,0,0,0,0,0,2012-08-04,,2004-05-14 15:38:15,2022-04-02 13:30:54,"HMISAdmin",,"LSAv8TestJul271308"
"CP123458","NXS102",0,0,0,0,0,0,2004-05-15,,2004-05-15 11:32:29,2024-03-22 08:42:50,"HMISAdmin",,"LSAv8TestJul271308"
"CP123472","PSH119",0,0,0,0,0,0,2015-01-08,,2015-01-08 15:42:44,2024-02-16 15:43:33,"HMISAdmin",,"LSAv8TestJul271308"
"CP123525","NBN171",0,0,0,0,0,0,2026-08-05,,2026-07-30 14:02:31,2026-07-30 14:02:31,"HMISAdmin",,"LSAv8TestJul271308"
"CP123526","NXS172",0,0,0,0,0,0,2026-08-05,,2026-07-30 14:02:31,2026-07-30 14:02:31,"HMISAdmin",,"LSAv8TestJul271308"
"CP123527","NXS173",0,0,0,0,0,0,2026-08-05,,2026-07-30 14:02:31,2026-07-30 14:02:31,"HMISAdmin",,"LSAv8TestJul271308"
"HP123529","PSH180",0,0,0,0,1,1,2022-08-05,,2023-07-25 10:09:56,2023-07-25 10:09:56,"HMISAdmin",,"LSAv8TestJul271308"
