ListNumber,ListName,Values,Text Value,,,,,,,,,,
6,RaceEthnicityLSA,347,"Black, African American, or African & Native Hawaiian or Pacific Islander & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,356,"Black, African American, or African & White & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,357,"Black, African American, or African & White & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,367,"Black, African American, or African & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,456,Native Hawaiian or Pacific Islander & White & Hispanic/Latina/e/o,,,,,,,,,,
6,RaceEthnicityLSA,457,Native Hawaiian or Pacific Islander & White & Middle Eastern or North African,,,,,,,,,,
6,RaceEthnicityLSA,467,Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o & Middle Eastern or North African,,,,,,,,,,
6,RaceEthnicityLSA,567,White & Hispanic/Latina/e/o & Middle Eastern or North African,,,,,,,,,,
6,RaceEthnicityLSA,1234,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Black, African American, or African & Native Hawaiian or Pacific Islander",,,,,,,,,,
6,RaceEthnicityLSA,1235,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Black, African American, or African & White",,,,,,,,,,
6,RaceEthnicityLSA,1236,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Black, African American, or African & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,1237,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Black, African American, or African & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,1245,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Native Hawaiian or Pacific Islander & White",,,,,,,,,,
6,RaceEthnicityLSA,1246,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,1247,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Native Hawaiian or Pacific Islander & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,1256,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & White & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,1257,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & White & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,1267,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,1345,"American Indian, Alaska Native, or Indigenous & Black, African American, or African & Native Hawaiian or Pacific Islander & White",,,,,,,,,,
6,RaceEthnicityLSA,1346,"American Indian, Alaska Native, or Indigenous & Black, African American, or African & Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,1347,"American Indian, Alaska Native, or Indigenous & Black, African American, or African & Native Hawaiian or Pacific Islander & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,1356,"American Indian, Alaska Native, or Indigenous & Black, African American, or African & White & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,1357,"American Indian, Alaska Native, or Indigenous & Black, African American, or African & White & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,1367,"American Indian, Alaska Native, or Indigenous & Black, African American, or African & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,1456,"American Indian, Alaska Native, or Indigenous & Native Hawaiian or Pacific Islander & White & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,1457,"American Indian, Alaska Native, or Indigenous & Native Hawaiian or Pacific Islander & White & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,1467,"American Indian, Alaska Native, or Indigenous & Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,1567,"American Indian, Alaska Native, or Indigenous & White & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,2345,"Asian or Asian American & Black, African American, or African & Native Hawaiian or Pacific Islander & White",,,,,,,,,,
6,RaceEthnicityLSA,2346,"Asian or Asian American & Black, African American, or African & Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,2347,"Asian or Asian American & Black, African American, or African & Native Hawaiian or Pacific Islander & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,2356,"Asian or Asian American & Black, African American, or African & White & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,2357,"Asian or Asian American & Black, African American, or African & White & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,2367,"Asian or Asian American & Black, African American, or African & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,2456,Asian or Asian American & Native Hawaiian or Pacific Islander & White & Hispanic/Latina/e/o,,,,,,,,,,
6,RaceEthnicityLSA,2457,Asian or Asian American & Native Hawaiian or Pacific Islander & White & Middle Eastern or North African,,,,,,,,,,
6,RaceEthnicityLSA,2467,Asian or Asian American & Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o & Middle Eastern or North African,,,,,,,,,,
6,RaceEthnicityLSA,2567,Asian or Asian American & White & Hispanic/Latina/e/o & Middle Eastern or North African,,,,,,,,,,
6,RaceEthnicityLSA,3456,"Black, African American, or African & Native Hawaiian or Pacific Islander & White & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,3457,"Black, African American, or African & Native Hawaiian or Pacific Islander & White & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,3467,"Black, African American, or African & Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,3567,"Black, African American, or African & White & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,4567,Native Hawaiian or Pacific Islander & White & Hispanic/Latina/e/o & Middle Eastern or North African,,,,,,,,,,
6,RaceEthnicityLSA,12345,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Black, African American, or African & Native Hawaiian or Pacific Islander & White",,,,,,,,,,
6,RaceEthnicityLSA,12346,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Black, African American, or African & Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,12347,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Black, African American, or African & Native Hawaiian or Pacific Islander & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,12356,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Black, African American, or African & White & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,12357,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Black, African American, or African & White & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,12367,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Black, African American, or African & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,12456,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Native Hawaiian or Pacific Islander & White & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,12457,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Native Hawaiian or Pacific Islander & White & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,12467,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,12567,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & White & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,13456,"American Indian, Alaska Native, or Indigenous & Black, African American, or African & Native Hawaiian or Pacific Islander & White & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,13457,"American Indian, Alaska Native, or Indigenous & Black, African American, or African & Native Hawaiian or Pacific Islander & White & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,13467,"American Indian, Alaska Native, or Indigenous & Black, African American, or African & Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,13567,"American Indian, Alaska Native, or Indigenous & Black, African American, or African & White & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,14567,"American Indian, Alaska Native, or Indigenous & Native Hawaiian or Pacific Islander & White & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,23456,"Asian or Asian American & Black, African American, or African & Native Hawaiian or Pacific Islander & White & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,23457,"Asian or Asian American & Black, African American, or African & Native Hawaiian or Pacific Islander & White & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,23467,"Asian or Asian American & Black, African American, or African & Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,23567,"Asian or Asian American & Black, African American, or African & White & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,24567,Asian or Asian American & Native Hawaiian or Pacific Islander & White & Hispanic/Latina/e/o & Middle Eastern or North African,,,,,,,,,,
6,RaceEthnicityLSA,34567,"Black, African American, or African & Native Hawaiian or Pacific Islander & White & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,123456,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Black, African American, or African & Native Hawaiian or Pacific Islander & White & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,123457,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Black, African American, or African & Native Hawaiian or Pacific Islander & White & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,123467,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Black, African American, or African & Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,123567,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Black, African American, or African & White & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,124567,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Native Hawaiian or Pacific Islander & White & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,134567,"American Indian, Alaska Native, or Indigenous & Black, African American, or African & Native Hawaiian or Pacific Islander & White & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,234567,"Asian or Asian American & Black, African American, or African & Native Hawaiian or Pacific Islander & White & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,1234567,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Black, African American, or African & Native Hawaiian or Pacific Islander & White & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
8,ZeroToThree,0,None,,,,,,,,,,
8,ZeroToThree,1,One,,,,,,,,,,
8,ZeroToThree,2,Two,,,,,,,,,,
8,ZeroToThree,3,Three or more,,,,,,,,,,
9,HHAdultAge,-1,n/a ,,,,,,,,,,
9,HHAdultAge,18,The oldest adult is between 18 and 21,,,,,,,,,,
9,HHAdultAge,24,The oldest adult is between 22 and 24,,,,,,,,,,
9,HHAdultAge,25,At least one adult is 25 or older; at least one is under 55,,,,,,,,,,
9,HHAdultAge,55,All adults are 55 or older,,,,,,,,,,
10,ProjectGroupStatus,0,Not served in project group,,,,,,,,,,
10,ProjectGroupStatus,2,Served in contiguous period prior to report start only,,,,,,,,,,
10,ProjectGroupStatus,11,Entered prior to report period; active on last day,,,,,,,,,,
10,ProjectGroupStatus,12,Enrolled prior to report period; exited during report period,,,,,,,,,,
10,ProjectGroupStatus,21,Entered during report period; active on last day,,,,,,,,,,
10,ProjectGroupStatus,22,Entered and exited during report period,,,,,,,,,,
11,MoveInStatus,-1,Not applicable ,,,,,,,,,,
11,MoveInStatus,0,Not placed,,,,,,,,,,
11,MoveInStatus,1,Placed in current report period,,,,,,,,,,
11,MoveInStatus,2,Placed prior to current report period,,,,,,,,,,
12,LOTHDays ,0,0 days,,,,,,,,,,
12,LOTHDays ,7,1-7 days,,,,,,,,,,
12,LOTHDays ,30,8-30 days,,,,,,,,,,
12,LOTHDays ,60,31-60 days,,,,,,,,,,
12,LOTHDays ,90,61-90 days,,,,,,,,,,
12,LOTHDays ,180,91-180 days,,,,,,,,,,
12,LOTHDays ,365,181-365 days,,,,,,,,,,
12,LOTHDays ,547,366-547 days,,,,,,,,,,
12,LOTHDays ,730,548-730 days,,,,,,,,,,
12,LOTHDays ,1094,731-1094 days,,,,,,,,,,
12,LOTHDays ,1095,1095 days+,,,,,,,,,,
13,GeographyLSA,-1,Not applicable ,,,,,,,,,,
13,GeographyLSA,1,Urban,,,,,,,,,,
13,GeographyLSA,2,Suburban,,,,,,,,,,
13,GeographyLSA,3,Rural,,,,,,,,,,
13,GeographyLSA,99,Unknown,,,,,,,,,,
14,LivingSitLSA,-1,Not applicable,,,,,,,,,,
14,LivingSitLSA,98,Data not provided by client,,,,,,,,,,
14,LivingSitLSA,99,Data missing or invalid,,,,,,,,,,
14,LivingSitLSA,101,"Emergency shelter, including hotel or motel paid for with emergency shelter voucher, Host Home shelter",,,,,,,,,,
14,LivingSitLSA,116,"Place not meant for habitation (e.g., a vehicle, an abandoned building, bus/train/subway station/airport or anywhere outside)",,,,,,,,,,
14,LivingSitLSA,118,Safe Haven,,,,,,,,,,
14,LivingSitLSA,204,Psychiatric hospital or other psychiatric facility,,,,,,,,,,
14,LivingSitLSA,205,Substance abuse treatment facility or detox center,,,,,,,,,,
14,LivingSitLSA,206,Hospital or other residential non-psychiatric medical facility,,,,,,,,,,
14,LivingSitLSA,207,"Jail, prison, or juvenile detention facility",,,,,,,,,,
14,LivingSitLSA,215,Foster care home or foster care group home,,,,,,,,,,
14,LivingSitLSA,225,Long-term care facility or nursing home,,,,,,,,,,
14,LivingSitLSA,302,Transitional housing for homeless persons (including homeless youth),,,,,,,,,,
14,LivingSitLSA,314,Hotel or motel paid for without emergency shelter voucher,,,,,,,,,,
14,LivingSitLSA,329,Residential project or halfway house with no homeless criteria,,,,,,,,,,
14,LivingSitLSA,332,Host Home (non-crisis),,,,,,,,,,
14,LivingSitLSA,335,"Staying or living in a family member’s room, apartment, or house",,,,,,,,,,
14,LivingSitLSA,336,"Staying or living in a friend’s room, apartment, or house",,,,,,,,,,
14,LivingSitLSA,410,"Rental by client, no ongoing housing subsidy",,,,,,,,,,
14,LivingSitLSA,411,"Owned by client, no ongoing housing subsidy",,,,,,,,,,
14,LivingSitLSA,419,Rental by client - VASH housing subsidy,,,,,,,,,,
14,LivingSitLSA,420,Rental by client - Other ongoing subsidy,,,,,,,,,,
14,LivingSitLSA,421,"Owned by client, with ongoing housing subsidy",,,,,,,,,,
14,LivingSitLSA,428,Rental by client - GPD TIP housing subsidy,,,,,,,,,,
14,LivingSitLSA,431,Rental by client - RRH or equivalent subsidy,,,,,,,,,,
14,LivingSitLSA,433,Rental by client - HCV voucher (tenant or project based) (not dedicated),,,,,,,,,,
14,LivingSitLSA,434,Rental by client - Public housing unit,,,,,,,,,,
14,LivingSitLSA,436,Rental by client - Emergency Housing Voucher,,,,,,,,,,
14,LivingSitLSA,437,Rental by client - Family Unification Program Voucher (FUP),,,,,,,,,,
14,LivingSitLSA,438,Rental by client - Foster Youth to Independence Initiative (FYI),,,,,,,,,,
14,LivingSitLSA,439,Rental by client - Permanent Supportive Housing,,,,,,,,,,
14,LivingSitLSA,440,Rental by client - Other permanent housing dedicated for formerly homeless persons,,,,,,,,,,
15,DestinationLSA,-1,Not applicable,,,,,,,,,,
15,DestinationLSA,24,Deceased,,,,,,,,,,
15,DestinationLSA,98,Data not provided by client,,,,,,,,,,
15,DestinationLSA,99,Data missing or invalid,,,,,,,,,,
15,DestinationLSA,101,"Emergency shelter, including hotel or motel paid for with emergency shelter voucher, Host Home shelter",,,,,,,,,,
15,DestinationLSA,116,"Place not meant for habitation (e.g., a vehicle, an abandoned building, bus/train/subway station/airport or anywhere outside)",,,,,,,,,,
15,DestinationLSA,118,Safe Haven,,,,,,,,,,
15,DestinationLSA,204,Psychiatric hospital or other psychiatric facility,,,,,,,,,,
15,DestinationLSA,205,Substance abuse treatment facility or detox center,,,,,,,,,,
15,DestinationLSA,206,Hospital or other residential non-psychiatric medical facility,,,,,,,,,,
15,DestinationLSA,207,"Jail, prison, or juvenile detention facility",,,,,,,,,,
15,DestinationLSA,215,Foster care home or foster care group home,,,,,,,,,,
15,DestinationLSA,225,Long-term care facility or nursing home,,,,,,,,,,
15,DestinationLSA,302,Transitional housing for homeless persons (including homeless youth),,,,,,,,,,
15,DestinationLSA,312,"Staying or living with family, temporary tenure (e.g. room, apartment, or house)",,,,,,,,,,
15,DestinationLSA,313,"Staying or living with friends, temporary tenure (e.g. room, apartment, or house)",,,,,,,,,,
15,DestinationLSA,314,Hotel or motel paid for without emergency shelter voucher,,,,,,,,,,
15,DestinationLSA,327,Moved from one HOPWA funded project to HOPWA TH,,,,,,,,,,
15,DestinationLSA,329,Residential project or halfway house with no homeless criteria,,,,,,,,,,
15,DestinationLSA,332,Host Home (non-crisis),,,,,,,,,,
15,DestinationLSA,410,"Rental by client, no ongoing housing subsidy",,,,,,,,,,
15,DestinationLSA,411,"Owned by client, no ongoing housing subsidy",,,,,,,,,,
15,DestinationLSA,419,Rental by client - VASH housing subsidy,,,,,,,,,,
15,DestinationLSA,420,Rental by client - Other ongoing subsidy,,,,,,,,,,
15,DestinationLSA,421,"Owned by client, with ongoing housing subsidy",,,,,,,,,,
15,DestinationLSA,422,"Staying or living with family, permanent tenure",,,,,,,,,,
15,DestinationLSA,423,"Staying or living with friends, permanent tenure",,,,,,,,,,
15,DestinationLSA,426,Moved from one HOPWA funded project to HOPWA PH,,,,,,,,,,
15,DestinationLSA,428,Rental by client - GPD TIP housing subsidy,,,,,,,,,,
15,DestinationLSA,431,Rental by client - RRH or equivalent subsidy,,,,,,,,,,
15,DestinationLSA,433,Rental by client - HCV voucher (tenant or project based) (not dedicated),,,,,,,,,,
15,DestinationLSA,434,Rental by client - Public housing unit,,,,,,,,,,
15,DestinationLSA,436,Rental by client - Emergency Housing Voucher,,,,,,,,,,
15,DestinationLSA,437,Rental by client - Family Unification Program Voucher (FUP),,,,,,,,,,
15,DestinationLSA,438,Rental by client - Foster Youth to Independence Initiative (FYI),,,,,,,,,,
15,DestinationLSA,439,Rental by client - Permanent Supportive Housing,,,,,,,,,,
15,DestinationLSA,440,Rental by client - Other permanent housing dedicated for formerly homeless persons,,,,,,,,,,
16,TimeHousedInPSH,0,None,,,,,,,,,,
16,TimeHousedInPSH,3,Up to 3 months,,,,,,,,,,
16,TimeHousedInPSH,6,3-6 months,,,,,,,,,,
16,TimeHousedInPSH,12,6-12 months,,,,,,,,,,
16,TimeHousedInPSH,24,12-24 months,,,,,,,,,,
16,TimeHousedInPSH,36,25-36 months,,,,,,,,,,
16,TimeHousedInPSH,48,37-48 months,,,,,,,,,,
16,TimeHousedInPSH,60,49-60 months,,,,,,,,,,
16,TimeHousedInPSH,84,5-7 years,,,,,,,,,,
16,TimeHousedInPSH,120,8-10 years,,,,,,,,,,
16,TimeHousedInPSH,121,10+ years,,,,,,,,,,
17,SystemPath,-1,Not applicable,,,,,,,,,,
17,SystemPath,1,ES/SH only,,,,,,,,,,
17,SystemPath,2,TH only,,,,,,,,,,
17,SystemPath,3,ES/SH + TH only,,,,,,,,,,
17,SystemPath,4,RRH only,,,,,,,,,,
17,SystemPath,5,ES/SH + RRH only,,,,,,,,,,
17,SystemPath,6,TH + RRH only,,,,,,,,,,
17,SystemPath,7,ES/SH + TH + RRH only,,,,,,,,,,
17,SystemPath,8,PSH only,,,,,,,,,,
17,SystemPath,9,ES/SH + PSH only,,,,,,,,,,
17,SystemPath,10,ES/SH + RRH + PSH only,,,,,,,,,,
