HoHID,HHType,QualifyingExitHHID,LastInactive,Cohort,Stat,ExitFrom,ExitTo,ReturnTime,HHVet,HHChronic,HHDisability,HHFleeingDV,HoHRaceEthnicity,HHAdultAge,HHParent,AC3Plus,SystemPath,ReportID,Step
"C11217",1,"NXS10615156HH1",2024-04-07,-2,1,2,313,-1,0,0,1,0,3,55,0,0,1,608011156,"7.12.4"
"C11256",1,"NXS10614166HH1",2024-01-07,-2,1,2,420,342,0,0,1,0,7,25,0,0,1,608011156,"7.12.4"
"C11265",1,"NXS10211250HH1",2023-09-15,-2,1,2,99,-1,0,1,1,1,5,18,0,0,1,608011156,"7.12.4"
"C11268",1,"NXS10615715HH1",2024-06-17,-2,1,2,99,470,0,0,1,0,3,25,0,0,1,608011156,"7.12.4"
"C11271",1,"NXS11011885HH1",2023-10-15,-2,1,2,422,-1,0,0,1,0,5,55,0,0,1,608011156,"7.12.4"
"C11283",1,"NXS10611913HH1",2023-10-15,-2,1,2,98,-1,0,0,1,2,14,25,0,0,1,608011156,"7.12.4"
"C11286",1,"NXS10615341HH1",2024-04-28,-2,1,2,420,-1,0,1,1,2,5,25,0,0,1,608011156,"7.12.4"
"C11292",1,"NXS11012963HH1",2023-11-23,-2,1,2,423,283,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C11298",1,"NXS12712304HH1",2023-10-30,-2,1,2,207,-1,0,0,0,2,3,25,0,0,1,608011156,"7.12.4"
"C11304",2,"NXS10214895HH2",2024-03-10,-2,1,2,313,-1,0,1,1,0,5,25,1,0,1,608011156,"7.12.4"
"C11316",1,"NXS10615092HH1",2024-04-01,-2,1,2,205,-1,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C11322",1,"NXS10613557HH1",2023-12-15,-2,1,2,101,-1,0,9,1,0,3,25,0,0,1,608011156,"7.12.4"
"C11337",1,"NXS10614149HH1",2024-01-06,-2,1,2,410,-1,0,0,0,0,5,55,0,0,1,608011156,"7.12.4"
"C11340",1,"NBN10512633HH1",2023-11-11,-2,1,2,99,278,0,0,1,2,56,25,0,0,1,608011156,"7.12.4"
"C11355",1,"NXS10615155HH1",2024-04-07,-2,1,2,99,-1,0,0,0,0,3,55,0,0,1,608011156,"7.12.4"
"C11361",1,"NXS10611194HH1",2023-09-11,-2,1,2,98,-1,0,0,1,0,5,55,0,0,1,608011156,"7.12.4"
"C11373",1,"NXS11116136HH1",2024-08-02,-2,1,2,313,-1,0,0,1,2,5,25,0,0,1,608011156,"7.12.4"
"C11376",1,"RRH14311018HH1",2023-09-03,-2,1,5,410,-1,0,9,1,0,3,25,0,0,4,608011156,"7.12.4"
"C11391",1,"NXS11311277HH1",2023-09-17,-2,1,2,410,-1,0,0,1,0,3,55,0,0,1,608011156,"7.12.4"
"C11394",1,"NXS11611417HH1",2023-09-27,-2,1,2,410,-1,0,0,1,0,5,55,0,0,1,608011156,"7.12.4"
"C11397",1,"NXS14711523HH1",2023-10-03,-2,1,2,410,-1,0,0,0,3,3,55,0,0,1,608011156,"7.12.4"
"C11415",2,"NXS10614938HH3",2024-03-14,-2,1,2,98,-1,0,0,0,2,36,25,1,0,1,608011156,"7.12.4"
"C11418",1,"NXS11615556HH2",2024-05-25,-2,1,2,313,255,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C11433",1,"NXS14712621HH1",2023-11-10,-2,1,2,99,655,0,4,0,0,5,55,0,0,1,608011156,"7.12.4"
"C11436",1,"NXS11315250HH1",2024-04-18,-2,1,2,312,-1,0,0,0,0,3,25,0,0,1,608011156,"7.12.4"
"C11439",1,"NXS11314426HH1",2024-01-18,-2,1,2,314,-1,0,4,0,2,5,55,0,0,1,608011156,"7.12.4"
"C11442",1,"NXS10614304HH1",2024-01-12,-2,1,2,419,-1,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C11454",1,"NXS11311314HH1",2023-09-21,-2,1,2,313,-1,1,1,1,0,46,25,0,0,1,608011156,"7.12.4"
"C11478",1,"NXS10615151HH1",2024-04-06,-2,1,2,99,561,0,0,0,0,5,55,0,0,1,608011156,"7.12.4"
"C11481",1,"NXS14711672HH1",2023-10-07,-2,1,2,99,255,0,9,1,0,5,55,0,0,1,608011156,"7.12.4"
"C11487",1,"NXS14711810HH1",2023-10-12,-2,1,2,99,214,0,4,0,0,5,25,0,0,1,608011156,"7.12.4"
"C11526",1,"NXS10612504HH1",2023-11-08,-2,1,2,420,-1,0,0,1,0,3,55,0,0,1,608011156,"7.12.4"
"C11538",1,"NXS10612769HH1",2023-11-16,-2,2,2,101,450,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C11553",1,"NXS11116354HH1",2024-08-26,-2,1,2,98,-1,0,0,0,0,56,25,0,0,1,608011156,"7.12.4"
"C11556",1,"NXS11312758HH1",2023-11-15,-2,1,2,420,-1,0,1,1,2,124,25,0,0,1,608011156,"7.12.4"
"C11559",1,"NXS10613018HH1",2023-11-25,-2,1,2,419,229,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C11580",1,"NXS11315310HH1",2024-04-25,-2,1,2,99,141,0,0,1,1,127,25,0,0,1,608011156,"7.12.4"
"C11583",1,"NXS11314806HH1",2024-01-23,-2,5,2,99,161,0,1,1,0,13,25,0,0,1,608011156,"7.12.4"
"C11592",1,"NXS10614154HH1",2024-01-07,-2,1,2,312,-1,0,0,0,0,3,25,0,0,1,608011156,"7.12.4"
"C11595",2,"NXS10611547HH4",2023-10-04,-2,1,2,410,-1,0,0,0,0,3,25,1,1,1,608011156,"7.12.4"
"C11598",1,"NXS11315268HH1",2024-04-19,-2,1,2,312,-1,0,0,0,0,135,25,0,0,1,608011156,"7.12.4"
"C11616",1,"NXS10612934HH1",2023-11-22,-2,1,2,99,247,0,0,1,2,5,25,0,0,1,608011156,"7.12.4"
"C11643",1,"NXS14713559HH1",2023-12-15,-2,1,2,99,-1,0,1,1,0,5,25,0,0,1,608011156,"7.12.4"
"C11655",1,"NXS10614090HH1",2024-01-04,-2,1,2,314,129,0,0,0,0,5,55,0,0,1,608011156,"7.12.4"
"C11658",1,"NXS10613325HH1",2023-12-07,-2,1,2,421,-1,0,0,1,0,3,25,0,0,1,608011156,"7.12.4"
"C11664",1,"NXS11315320HH1",2024-04-25,-2,1,2,99,592,0,1,1,1,5,25,0,0,1,608011156,"7.12.4"
"C11667",1,"NXS11311233HH1",2023-09-14,-2,1,2,410,-1,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C11670",1,"NXS10616360HH1",2024-08-26,-2,1,2,423,-1,1,0,1,2,156,25,0,0,1,608011156,"7.12.4"
"C11679",1,"NXS10612449HH1",2023-11-05,-2,1,2,420,-1,0,0,0,1,5,25,0,0,1,608011156,"7.12.4"
"C11688",1,"NXS11010741HH1",2023-08-02,-2,1,2,410,-1,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C11718",1,"NXS10613331HH1",2023-12-08,-2,1,2,98,-1,0,1,1,0,5,25,0,0,1,608011156,"7.12.4"
"C11721",2,"NXS11111955HH2",2023-10-17,-2,1,2,99,-1,0,0,1,2,56,25,1,0,1,608011156,"7.12.4"
"C11727",1,"NXS10615474HH1",2024-05-17,-2,1,2,420,-1,0,0,1,0,5,55,0,0,1,608011156,"7.12.4"
"C11733",1,"NXS11116343HH1",2024-08-25,-2,1,2,313,317,0,0,1,0,5,55,0,0,1,608011156,"7.12.4"
"C11742",1,"NXS11314499HH1",2023-07-28,-2,5,2,313,54,0,1,1,0,5,55,0,0,1,608011156,"7.12.4"
"C11745",1,"NXS11310834HH1",2023-08-12,-2,1,2,422,-1,0,1,1,0,3,25,0,0,1,608011156,"7.12.4"
"C11754",1,"NXS11314899HH1",2024-03-10,-2,1,2,99,151,0,4,0,0,3,25,0,0,1,608011156,"7.12.4"
"C11757",1,"NXS11311261HH1",2023-09-15,-2,1,2,101,-1,0,1,1,0,5,55,0,0,1,608011156,"7.12.4"
"C11784",1,"RRH13210698HH1",2023-07-28,-2,1,5,410,-1,0,0,0,0,56,55,0,0,4,608011156,"7.12.4"
"C11787",1,"NXS14712573HH1",2023-11-09,-2,1,2,99,660,0,1,1,0,3,25,0,0,1,608011156,"7.12.4"
"C11796",1,"NXS11311343HH1",2023-08-20,-2,5,2,101,358,0,0,1,0,247,25,0,0,1,608011156,"7.12.4"
"C11802",1,"NXS11011376HH1",2023-09-25,-2,1,2,313,70,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C11808",1,"NXS14712996HH1",2023-11-24,-2,1,2,101,-1,1,4,0,0,256,25,0,0,1,608011156,"7.12.4"
"C11817",1,"NXS11611189HH1",2023-08-20,-2,5,2,312,487,0,1,1,0,5,55,0,0,1,608011156,"7.12.4"
"C11853",1,"NXS14712032HH1",2023-10-19,-2,1,2,313,-1,0,4,0,0,346,25,0,0,1,608011156,"7.12.4"
"C11880",1,"NXS10615494HH1",2024-05-18,-2,1,2,99,94,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C11913",1,"NXS14712628HH1",2023-11-11,-2,1,2,329,-1,0,0,0,0,3,25,0,0,1,608011156,"7.12.4"
"C11919",1,"NXS14711623HH1",2023-10-05,-2,1,2,314,-1,0,1,1,0,5,55,0,0,1,608011156,"7.12.4"
"C11928",1,"NXS11314901HH1",2024-03-10,-2,3,2,422,-1,0,0,0,2,567,25,0,0,1,608011156,"7.12.4"
"C11943",1,"HAV13710092HH1",2022-03-19,-2,1,4,410,-1,1,1,1,0,3,55,0,0,1,608011156,"7.12.4"
"C11967",1,"NXS10913653HH1",2023-12-20,-2,1,2,422,-1,0,0,0,0,3,24,0,0,1,608011156,"7.12.4"
"C11991",1,"NXS14713324HH1",2023-12-07,-2,1,2,313,-1,0,1,1,0,5,25,0,0,1,608011156,"7.12.4"
"C11994",1,"NXS14712995HH1",2023-11-24,-2,1,2,101,-1,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C11997",1,"RRH13210372HH1",2023-05-18,-2,1,5,410,-1,0,4,0,0,5,25,0,0,4,608011156,"7.12.4"
"C12003",2,"NXS10613991HH2",2024-01-02,-2,1,2,410,-1,0,0,0,2,5,25,1,0,1,608011156,"7.12.4"
"C12021",1,"NXS10612006HH1",2023-10-18,-2,1,2,98,-1,0,1,1,2,5,25,0,0,1,608011156,"7.12.4"
"C12036",1,"NXS10615095HH1",2024-04-01,-2,1,2,410,-1,0,0,0,0,5,25,0,0,1,608011156,"7.12.4"
"C12045",1,"NXS10615576HH1",2024-05-26,-2,1,2,98,-1,0,0,1,0,5,55,0,0,1,608011156,"7.12.4"
"C12057",2,"RRH12110138HH4",2022-12-17,-2,1,5,410,-1,0,4,0,2,5,25,1,1,4,608011156,"7.12.4"
"C12063",1,"NXS11214419HH1",2024-01-17,-2,1,2,98,-1,0,0,1,1,15,25,0,0,1,608011156,"7.12.4"
"C12069",1,"NXS11413279HH1",2023-12-06,-2,1,2,312,-1,0,0,1,0,16,25,0,0,1,608011156,"7.12.4"
"C12081",1,"RRH12314867HH1",2024-03-07,-2,4,5,410,-1,1,1,1,0,5,25,0,0,4,608011156,"7.12.4"
"C12084",1,"NXS11416068HH1",2024-07-27,-2,1,2,99,153,0,1,1,0,5,25,0,0,1,608011156,"7.12.4"
"C12102",1,"RRH12115216HH1",2024-04-14,-2,1,5,422,-1,0,4,0,0,5,55,0,0,4,608011156,"7.12.4"
"C12111",2,"RRH12111318HH6",2023-09-21,-2,1,5,410,-1,0,1,1,0,3,25,1,1,4,608011156,"7.12.4"
"C12123",1,"NXS10613122HH1",2023-11-30,-2,1,2,419,-1,1,4,0,0,5,25,0,0,1,608011156,"7.12.4"
"C12126",1,"RRH12110242HH1",2023-03-15,-2,1,5,410,-1,0,0,0,0,5,25,0,0,4,608011156,"7.12.4"
"C12135",2,"NXS10616377HH2",2024-08-29,-2,1,2,313,349,0,1,1,1,35,25,1,0,1,608011156,"7.12.4"
"C12141",1,"NXS10314830HH1",2024-02-22,-2,1,2,99,-1,0,4,0,1,26,25,0,0,1,608011156,"7.12.4"
"C12147",1,"NXS14711562HH1",2023-10-04,-2,1,2,116,315,0,4,0,0,56,55,0,0,1,608011156,"7.12.4"
"C12159",1,"NXS10916059HH1",2024-07-26,-2,1,2,101,568,0,0,0,0,5,25,0,0,1,608011156,"7.12.4"
"C12174",2,"RRH12110576HH3",2023-07-15,-2,1,5,410,-1,0,1,1,2,35,25,1,0,5,608011156,"7.12.4"
"C12183",2,"RRH12110350HH5",2023-05-10,-2,1,5,410,-1,0,0,1,2,5,25,1,1,4,608011156,"7.12.4"
"C12186",1,"NXS11412103HH1",2023-10-22,-2,1,2,101,-1,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C12189",1,"NXS10611341HH1",2023-09-23,-2,1,2,313,-1,0,0,1,1,3,25,0,0,1,608011156,"7.12.4"
"C12198",2,"RRH12112974HH3",2023-11-04,-2,5,5,422,163,0,0,0,2,3,25,1,0,5,608011156,"7.12.4"
"C12210",1,"RRH12111005HH1",2023-08-31,-2,1,5,434,-1,0,6,1,2,15,55,0,0,4,608011156,"7.12.4"
"C12213",1,"NXS11415705HH1",2024-06-14,-2,1,2,99,199,0,4,0,0,13,25,0,0,1,608011156,"7.12.4"
"C12216",1,"RRH13310348HH1",2023-05-10,-2,1,5,419,-1,1,0,1,0,45,55,0,0,-1,608011156,"7.12.1"
"C12234",1,"NBN10515400HH1",2024-05-03,-2,1,2,99,-1,0,0,0,2,5,25,0,0,1,608011156,"7.12.4"
"C12240",2,"NXS11215480HH5",2024-05-17,-2,1,2,312,-1,0,0,0,2,3,25,1,1,1,608011156,"7.12.4"
"C12249",1,"NXS10712395HH1",2023-11-04,-2,1,2,410,158,0,1,1,1,5,25,0,0,1,608011156,"7.12.4"
"C12309",1,"NXS12713680HH1",2023-11-27,-2,5,2,313,21,0,1,1,1,5,25,0,0,1,608011156,"7.12.4"
"C12327",1,"NXS11310944HH1",2023-08-25,-2,1,2,312,-1,0,0,1,1,3,55,0,0,1,608011156,"7.12.4"
"C12330",1,"NXS10611916HH1",2023-10-16,-2,1,2,101,-1,0,1,1,0,124,55,0,0,1,608011156,"7.12.4"
"C12339",1,"NBN10515888HH1",2024-07-12,-2,1,2,99,-1,0,0,0,0,3,25,0,0,1,608011156,"7.12.4"
"C12342",1,"NXS11413684HH1",2023-12-21,-2,1,2,420,-1,0,1,1,2,3,25,0,0,1,608011156,"7.12.4"
"C12345",1,"NXS10616273HH1",2024-08-18,-2,1,2,420,331,0,0,1,0,5,55,0,0,1,608011156,"7.12.4"
"C12354",2,"RRH16015882HH5",2024-07-08,-2,1,5,433,-1,0,0,0,3,5,25,1,1,4,608011156,"7.12.4"
"C12363",1,"NXS10815049HH1",2024-03-29,-2,1,2,410,-1,0,0,0,0,36,25,0,0,1,608011156,"7.12.4"
"C12366",1,"NXS10615274HH1",2024-04-20,-2,1,2,422,302,0,0,0,0,127,25,0,0,1,608011156,"7.12.4"
"C12369",1,"NXS10314674HH1",2024-01-31,-2,4,2,314,18,0,0,1,0,5,55,0,0,1,608011156,"7.12.4"
"C12372",1,"RRH12312646HH1",2023-11-11,-2,1,5,419,-1,1,9,1,0,3,25,0,0,4,608011156,"7.12.4"
"C12378",1,"NBN10512448HH1",2023-11-12,-2,1,2,99,-1,0,0,1,0,134,55,0,0,1,608011156,"7.12.4"
"C12381",1,"RRH13210342HH1",2023-05-05,-2,1,7,207,-1,0,0,0,1,3,25,0,0,4,608011156,"7.12.4"
"C12390",1,"RRH13210317HH1",2023-04-20,-2,1,7,423,44,0,0,1,1,35,25,0,0,5,608011156,"7.12.4"
"C12396",2,"RRH13212007HH2",2023-08-29,-2,5,5,410,-1,0,0,1,2,135,24,1,0,5,608011156,"7.12.4"
"C12420",1,"NBN10515241HH1",2024-04-15,-2,1,2,99,158,0,1,1,0,137,25,0,0,1,608011156,"7.12.4"
"C12447",1,"RRH12313476HH1",2023-12-13,-2,1,5,419,-1,1,0,1,0,5,55,0,0,4,608011156,"7.12.4"
"C12453",1,"RRH12112869HH1",2023-11-19,-2,1,7,116,245,0,4,0,2,5,25,0,0,4,608011156,"7.12.4"
"C12456",1,"NXS11310960HH1",2023-08-25,-2,1,2,312,-1,0,0,0,0,3,25,0,0,1,608011156,"7.12.4"
"C12465",1,"NXS12713283HH1",2023-12-06,-2,1,2,116,-1,0,1,1,0,3,25,0,0,1,608011156,"7.12.4"
"C12471",1,"RRH12110893HH1",2023-08-19,-2,1,7,101,-1,0,4,0,0,5,55,0,0,4,608011156,"7.12.4"
"C12492",1,"RRH12614319HH1",2024-01-13,-2,1,5,423,-1,0,1,1,2,1,25,0,0,4,608011156,"7.12.4"
"C12498",1,"NXS11315099HH1",2024-04-04,-2,1,2,206,-1,0,1,1,2,5,25,0,0,1,608011156,"7.12.4"
"C12504",1,"RRH13110375HH1",2023-05-20,-2,1,5,410,-1,0,9,1,2,5,55,0,0,4,608011156,"7.12.4"
"C12507",1,"NXS10710899HH1",2023-08-20,-2,1,2,410,-1,0,1,1,2,167,25,0,0,1,608011156,"7.12.4"
"C12510",2,"RRH12110256HH2",2023-04-01,-2,1,5,410,-1,0,0,0,1,35,25,1,0,4,608011156,"7.12.4"
"C12534",1,"NXS11412872HH1",2023-11-19,-2,1,2,410,-1,0,0,1,2,1,25,0,0,1,608011156,"7.12.4"
"C12537",1,"RRH12210512HH2",2023-07-02,-2,1,5,419,585,1,0,1,0,235,25,0,0,4,608011156,"7.12.4"
"C12546",2,"NXS10311408HH5",2023-09-27,-2,1,2,422,-1,0,0,0,2,5,25,1,1,1,608011156,"7.12.4"
"C12576",1,"NBN10515302HH1",2024-04-23,-2,1,2,99,689,0,0,0,1,245,25,0,0,1,608011156,"7.12.4"
"C12579",1,"NXS10614717HH1",2024-02-07,-2,4,2,312,462,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C12609",2,"RRH12311978HH4",2023-10-18,-2,1,5,410,-1,1,9,1,0,247,25,1,0,4,608011156,"7.12.4"
"C12630",1,"NXS11414792HH1",2024-02-16,-2,1,2,422,-1,0,1,1,0,5,25,0,0,1,608011156,"7.12.4"
"C12648",1,"NXS11413161HH1",2023-12-01,-2,1,2,332,465,0,0,0,2,5,25,0,0,1,608011156,"7.12.4"
"C12654",1,"NXS10611914HH1",2023-10-15,-2,1,2,98,-1,0,0,0,1,3,25,0,0,1,608011156,"7.12.4"
"C12657",1,"NXS13514625HH1",2024-01-27,-2,1,2,99,237,0,1,1,2,5,25,0,0,1,608011156,"7.12.4"
"C12678",1,"NBN10511354HH1",2023-09-25,-2,1,2,99,-1,0,0,0,0,346,25,0,0,1,608011156,"7.12.4"
"C12690",1,"RRH12115521HH1",2024-05-20,-2,1,7,101,-1,0,1,1,0,5,25,0,0,4,608011156,"7.12.4"
"C12696",1,"NXS10611004HH1",2023-08-31,-2,1,2,312,-1,0,0,1,0,3,25,0,0,1,608011156,"7.12.4"
"C12702",2,"NXS10216282HH5",2024-08-19,-2,1,2,422,410,0,0,0,0,356,25,1,1,1,608011156,"7.12.4"
"C12723",1,"NXS10615516HH1",2024-04-30,-2,5,2,423,249,0,1,1,0,35,25,0,0,1,608011156,"7.12.4"
"C12732",1,"RRH13213515HH1",2023-12-14,-2,1,5,410,-1,0,4,0,0,367,25,0,0,4,608011156,"7.12.4"
"C12744",1,"NXS10612786HH1",2023-11-16,-2,1,2,420,-1,0,0,1,0,3,25,0,0,1,608011156,"7.12.4"
"C12774",2,"RRH13210370HH3",2023-05-17,-2,1,5,422,-1,0,0,1,2,567,25,1,0,4,608011156,"7.12.4"
"C12777",1,"NXS11415272HH1",2024-04-20,-2,3,2,313,146,1,1,1,0,15,55,0,0,1,608011156,"7.12.4"
"C12798",1,"RRH13214253HH1",2023-12-17,-2,5,5,410,563,0,1,1,0,5,25,0,0,5,608011156,"7.12.4"
"C12801",1,"NXS10612587HH1",2023-11-10,-2,1,2,313,-1,0,0,0,0,3,25,0,0,1,608011156,"7.12.4"
"C12825",2,"NXS10711973HH4",2023-10-17,-2,1,2,411,71,0,0,0,0,3,25,1,1,1,608011156,"7.12.4"
"C12837",1,"NXS11412853HH1",2023-11-18,-2,1,2,101,-1,0,4,0,0,5,55,0,0,1,608011156,"7.12.4"
"C12846",1,"NXS11411565HH1",2023-10-04,-2,1,2,101,125,0,0,1,0,35,25,0,0,1,608011156,"7.12.4"
"C12849",1,"NXS10611483HH1",2023-09-30,-2,1,2,423,-1,0,0,0,1,5,25,0,0,1,608011156,"7.12.4"
"C12858",1,"RRH12112226HH2",2023-09-29,-2,5,7,101,457,0,1,1,0,12,25,0,0,5,608011156,"7.12.4"
"C12867",1,"TRN10412574HH1",2023-11-09,-2,1,3,98,690,0,0,1,0,13,25,0,0,2,608011156,"7.12.4"
"C12873",1,"NXS10615470HH1",2024-05-16,-2,1,2,99,-1,0,0,1,0,3,55,0,0,1,608011156,"7.12.4"
"C12876",1,"NXS10611649HH1",2023-10-07,-2,1,2,99,-1,0,9,1,0,5,24,0,0,1,608011156,"7.12.4"
"C12885",1,"NXS10614770HH1",2024-02-11,-2,1,2,420,459,0,0,1,1,5,25,0,0,1,608011156,"7.12.4"
"C12900",1,"NXS13814559HH1",2024-01-23,-2,1,2,423,-1,0,0,1,2,15,25,0,0,1,608011156,"7.12.4"
"C12912",1,"NXS10716083HH1",2024-07-28,-2,1,2,99,-1,0,0,0,2,16,25,0,0,1,608011156,"7.12.4"
"C12930",1,"NXS11316415HH1",2024-09-01,-2,1,2,99,113,0,4,0,0,5,55,0,0,1,608011156,"7.12.4"
"C12936",1,"NXS11413185HH1",2023-12-02,-2,1,2,101,92,0,1,1,2,23,55,0,0,1,608011156,"7.12.4"
"C12963",1,"RRH12612798HH1",2023-11-17,-2,1,5,410,-1,1,0,0,0,5,55,0,0,4,608011156,"7.12.4"
"C12993",1,"NXS11415573HH1",2024-05-26,-2,1,2,422,212,0,0,1,0,5,55,0,0,1,608011156,"7.12.4"
"C13008",1,"RRH12110394HH1",2023-05-31,-2,1,5,420,-1,0,1,1,1,34,24,0,0,4,608011156,"7.12.4"
"C13020",2,"NXS10712578HH3",2023-11-09,-2,1,2,99,-1,0,4,0,0,5,24,1,0,1,608011156,"7.12.4"
"C13032",1,"NXS11415426HH1",2024-05-05,-2,1,2,422,-1,0,1,1,0,3,25,0,0,1,608011156,"7.12.4"
"C13047",1,"RRH12313219HH1",2023-10-09,-2,5,5,419,-1,1,1,1,0,3,55,0,0,5,608011156,"7.12.4"
"C13053",1,"NXS11612447HH1",2023-11-05,-2,1,2,302,278,0,0,1,0,37,24,0,0,1,608011156,"7.12.4"
"C13056",1,"RRH12110491HH1",2023-06-28,-2,1,7,313,-1,0,4,0,1,5,25,0,0,4,608011156,"7.12.4"
"C13059",1,"NBN10516518HH1",2024-09-10,-2,1,2,99,-1,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C13065",1,"NXS10615695HH1",2024-06-11,-2,1,2,98,516,0,0,1,0,3,55,0,0,1,608011156,"7.12.4"
"C13074",1,"NXS12713414HH1",2023-10-13,-2,5,2,101,507,0,1,1,0,5,18,0,0,1,608011156,"7.12.4"
"C13107",1,"NXS11311817HH1",2023-10-12,-2,5,2,101,45,0,4,0,0,3,25,0,0,1,608011156,"7.12.4"
"C13116",1,"NXS11114866HH1",2024-03-05,-2,1,2,420,-1,0,1,1,0,5,55,0,0,1,608011156,"7.12.4"
"C13119",1,"NXS12713326HH1",2023-12-08,-2,1,2,312,-1,0,1,1,0,67,25,0,0,1,608011156,"7.12.4"
