PersonalID,episodeStart,episodeEnd,episodeDays,Step
"C11430",2025-06-02,2025-09-19,110,"7.7.2"
"C11433",2022-01-03,2026-01-04,1463,"7.7.2"
"C11436",2024-04-19,2024-08-03,107,"7.7.2"
"C11442",2024-01-13,2024-02-20,39,"7.7.2"
"C11472",2023-01-09,2026-01-07,1095,"7.7.2"
"C11478",2024-04-07,2024-04-25,19,"7.7.2"
"C11478",2025-11-08,2025-12-02,25,"7.7.2"
"C11481",2023-10-08,2024-01-29,114,"7.7.2"
"C11481",2024-10-11,2024-12-04,55,"7.7.2"
"C11484",2025-10-12,2025-10-25,14,"7.7.2"
"C11490",2025-02-14,2025-03-07,22,"7.7.2"
"C11493",2025-04-25,2025-05-22,28,"7.7.2"
"C11496",2025-12-20,2026-01-24,36,"7.7.2"
"C11502",2024-06-21,2025-01-30,224,"7.7.2"
"C11508",2026-02-05,2026-02-17,13,"7.7.2"
"C11511",2025-01-19,2025-02-28,41,"7.7.2"
"C11517",2025-03-22,2025-04-05,15,"7.7.2"
"C11517",2025-06-26,2025-08-06,42,"7.7.2"
"C11517",2025-10-12,2025-12-10,60,"7.7.2"
"C11526",2023-11-09,2023-12-25,47,"7.7.2"
"C11529",2025-03-23,2025-08-30,161,"7.7.2"
"C11532",2025-03-23,2025-08-30,161,"7.7.2"
"C11538",2023-09-07,2023-09-26,20,"7.7.2"
"C11538",2023-11-17,2023-12-19,33,"7.7.2"
"C11538",2025-03-14,2025-04-05,23,"7.7.2"
"C11538",2025-10-09,2025-11-26,49,"7.7.2"
"C11547",2025-11-18,2025-12-27,40,"7.7.2"
"C11550",2024-12-06,2025-01-18,44,"7.7.2"
"C11553",2024-08-27,2024-09-17,22,"7.7.2"
"C11559",2023-11-25,2024-01-03,40,"7.7.2"
"C11559",2024-08-20,2024-10-16,58,"7.7.2"
"C11559",2025-05-24,2025-07-23,61,"7.7.2"
"C11559",2025-10-16,2025-12-22,68,"7.7.2"
"C11565",2024-09-11,2024-11-02,53,"7.7.2"
"C11568",2026-01-03,2026-01-20,18,"7.7.2"
"C11580",2024-03-05,2024-12-03,274,"7.7.2"
"C11586",2025-03-15,2025-07-12,120,"7.7.2"
"C11589",2025-09-25,2025-10-16,22,"7.7.2"
"C11592",2024-01-07,2024-01-23,17,"7.7.2"
"C11595",2023-10-05,2023-10-31,27,"7.7.2"
"C11598",2023-08-28,2024-05-04,251,"7.7.2"
"C11601",2024-09-22,,,"7.7.2"
"C11604",2025-02-18,2025-03-03,14,"7.7.2"
"C11613",2025-09-30,2025-10-18,19,"7.7.2"
"C11616",2023-11-22,2024-01-07,47,"7.7.2"
"C11616",2024-09-11,2024-10-29,49,"7.7.2"
"C11619",2025-11-15,2025-12-05,21,"7.7.2"
"C11622",2023-03-04,2026-01-10,1044,"7.7.2"
"C11640",2024-11-20,2025-01-29,71,"7.7.2"
"C11655",2024-01-05,2024-01-30,26,"7.7.2"
"C11658",2023-12-08,2023-12-28,21,"7.7.2"
"C11661",2025-12-17,2026-01-21,36,"7.7.2"
"C11661",2026-02-06,2026-02-28,23,"7.7.2"
"C11664",2021-06-14,2024-06-12,1095,"7.7.2"
"C11664",2026-01-26,2026-02-13,19,"7.7.2"
"C11667",2023-09-15,2023-11-15,62,"7.7.2"
"C11670",2024-08-27,2024-09-12,17,"7.7.2"
"C11673",2025-11-07,2026-01-09,64,"7.7.2"
"C11679",2023-11-06,2023-12-19,44,"7.7.2"
"C11682",2024-09-28,2024-11-15,49,"7.7.2"
"C11685",2025-10-11,2025-11-17,38,"7.7.2"
"C11688",2023-08-03,2023-12-11,131,"7.7.2"
"C11697",2025-10-02,2025-11-11,41,"7.7.2"
"C11700",2024-12-02,2024-12-14,13,"7.7.2"
"C11715",2025-06-28,2025-09-14,79,"7.7.2"
"C11721",2023-10-18,2023-10-31,14,"7.7.2"
"C11727",2024-05-17,2024-06-25,40,"7.7.2"
"C11730",2025-11-30,2025-12-26,27,"7.7.2"
"C11733",2024-08-05,2024-09-13,40,"7.7.2"
"C11733",2025-07-05,2025-08-13,40,"7.7.2"
"C11736",2024-10-26,2024-12-14,50,"7.7.2"
"C11742",2023-07-29,2024-05-07,284,"7.7.2"
"C11742",2024-07-01,2025-08-08,404,"7.7.2"
"C11748",2025-02-18,2025-05-15,87,"7.7.2"
"C11751",2025-09-03,2025-10-22,50,"7.7.2"
"C11754",2021-05-22,2025-02-02,1353,"7.7.2"
"C11760",2025-11-29,2025-12-13,15,"7.7.2"
"C11763",2025-09-02,2025-10-09,38,"7.7.2"
"C11775",2025-12-05,2026-01-03,30,"7.7.2"
"C11778",2025-11-12,2026-02-02,83,"7.7.2"
"C11781",2022-01-13,2025-04-03,1177,"7.7.2"
"C11781",2025-09-08,2025-10-06,29,"7.7.2"
"C11784",2022-11-05,2023-08-17,286,"7.7.2"
"C11787",2022-10-19,2023-12-14,422,"7.7.2"
"C11787",2024-03-05,2025-11-17,623,"7.7.2"
"C11793",2025-04-04,2025-05-07,34,"7.7.2"
"C11796",2023-07-19,2023-12-16,151,"7.7.2"
"C11796",2024-12-09,2024-12-21,13,"7.7.2"
"C11796",2025-05-25,2025-10-29,158,"7.7.2"
"C11802",2023-09-26,2023-10-13,18,"7.7.2"
"C11805",2025-11-10,2026-01-03,55,"7.7.2"
"C11814",2025-05-12,2025-07-25,75,"7.7.2"
"C11817",2020-10-05,2025-12-24,1907,"7.7.2"
"C11820",2025-11-06,2026-01-15,71,"7.7.2"
"C11826",2025-09-03,2025-10-24,52,"7.7.2"
"C11832",2024-07-06,2025-04-11,280,"7.7.2"
"C11835",2025-09-26,2025-12-15,81,"7.7.2"
"C11838",2025-03-04,2025-09-19,200,"7.7.2"
"C11844",2025-10-19,2025-12-01,44,"7.7.2"
"C11847",2025-11-15,2025-12-30,46,"7.7.2"
"C11856",2024-11-28,2024-12-21,24,"7.7.2"
"C11871",2023-01-05,2025-07-24,932,"7.7.2"
"C11877",2025-11-10,2026-02-10,93,"7.7.2"
"C11880",2024-05-19,2024-06-05,18,"7.7.2"
"C11880",2024-09-08,2024-10-01,24,"7.7.2"
"C11880",2025-07-28,2025-12-14,140,"7.7.2"
"C11883",2024-12-10,2025-01-02,24,"7.7.2"
"C11892",2026-02-14,2026-03-07,22,"7.7.2"
"C11910",2025-11-14,2026-01-22,70,"7.7.2"
"C11913",2023-11-12,2023-12-12,31,"7.7.2"
"C11919",2022-09-29,2023-12-13,441,"7.7.2"
"C11925",2023-01-07,2025-03-24,808,"7.7.2"
"C11928",2023-10-14,2023-11-10,28,"7.7.2"
"C11928",2024-02-20,2024-08-31,194,"7.7.2"
"C11937",2025-12-12,2026-01-31,51,"7.7.2"
"C11940",2025-11-01,2025-11-15,15,"7.7.2"
"C11943",2022-03-19,2024-04-02,746,"7.7.2"
"C11949",2025-12-07,2025-12-24,18,"7.7.2"
"C11961",2025-07-05,2025-10-25,113,"7.7.2"
"C11967",2023-12-21,2024-01-30,41,"7.7.2"
"C11973",2022-12-22,2025-12-20,1095,"7.7.2"
"C11979",2025-04-19,2025-05-03,15,"7.7.2"
"C11982",2025-10-25,2025-11-05,12,"7.7.2"
"C11982",2025-11-05,2025-11-13,9,"7.7.2"
"C11982",2025-11-13,,,"7.7.2"
"C11985",2024-12-14,2025-02-15,64,"7.7.2"
"C11988",2025-03-20,2025-04-22,34,"7.7.2"
"C11994",2023-11-25,2023-12-13,19,"7.7.2"
"C11997",2022-05-26,2023-06-03,374,"7.7.2"
"C12003",2024-01-03,2024-03-23,81,"7.7.2"
"C12015",2022-08-19,2024-10-28,802,"7.7.2"
"C12018",2024-07-21,2026-02-14,574,"7.7.2"
"C12027",2025-11-09,2025-11-23,15,"7.7.2"
"C12027",2025-12-15,2025-12-28,14,"7.7.2"
"C12036",2024-04-02,2024-05-22,51,"7.7.2"
"C12039",2025-04-28,2025-06-16,50,"7.7.2"
"C12045",2024-05-27,2024-07-10,45,"7.7.2"
"C12051",2025-08-25,2026-01-17,146,"7.7.2"
"C12054",2025-11-03,2025-11-23,21,"7.7.2"
"C12057",2022-08-14,2023-10-07,420,"7.7.2"
"C12063",2024-01-18,2024-02-17,31,"7.7.2"
"C12069",2023-12-07,2024-01-03,28,"7.7.2"
"C12072",2025-04-23,2025-05-09,17,"7.7.2"
"C12078",2024-11-05,2026-02-10,463,"7.7.2"
"C12081",2021-09-17,2024-05-11,968,"7.7.2"
"C12084",2024-06-05,2025-06-14,375,"7.7.2"
"C12087",2025-12-20,2026-01-23,35,"7.7.2"
"C12093",2025-08-14,2025-08-17,4,"7.7.2"
"C12096",2025-07-13,2025-12-06,147,"7.7.2"
"C12099",2023-03-09,2025-11-19,987,"7.7.2"
"C12102",2021-07-20,2024-05-20,1036,"7.7.2"
"C12111",2022-09-02,2023-11-09,434,"7.7.2"
"C12123",2022-11-19,2023-12-29,406,"7.7.2"
"C12126",2022-08-05,2023-07-26,356,"7.7.2"
"C12135",2024-08-28,2025-09-12,381,"7.7.2"
"C12138",2025-03-08,2025-03-25,18,"7.7.2"
"C12138",2025-07-14,2025-08-28,46,"7.7.2"
"C12138",2026-01-08,2026-01-20,13,"7.7.2"
"C12147",2020-12-12,2025-12-11,1826,"7.7.2"
"C12159",2024-07-27,2024-08-08,13,"7.7.2"
"C12159",2026-02-28,2026-03-21,22,"7.7.2"
"C12171",2024-12-08,2024-12-09,2,"7.7.2"
"C12174",2023-03-18,2023-09-17,184,"7.7.2"
"C12174",2025-10-29,2025-11-19,22,"7.7.2"
"C12183",2023-04-06,2023-08-10,127,"7.7.2"
"C12186",2023-08-04,2023-12-04,123,"7.7.2"
"C12189",2023-09-24,2023-11-04,42,"7.7.2"
"C12192",2025-05-02,2025-06-06,36,"7.7.2"
"C12195",2024-09-16,2024-11-25,71,"7.7.2"
"C12198",2023-10-20,2023-12-01,43,"7.7.2"
"C12198",2024-06-19,2024-10-29,133,"7.7.2"
"C12198",2025-09-13,2025-10-30,48,"7.7.2"
"C12210",2023-06-18,2024-06-04,353,"7.7.2"
"C12213",2024-06-15,2025-07-25,406,"7.7.2"
"C12228",2025-03-04,2025-07-12,131,"7.7.2"
"C12231",2023-08-04,2024-09-06,400,"7.7.2"
"C12234",2024-04-12,2024-05-12,31,"7.7.2"
"C12240",2024-05-18,2024-08-07,82,"7.7.2"
"C12249",2023-10-18,2025-03-16,516,"7.7.2"
"C12252",2025-11-28,2025-12-15,18,"7.7.2"
"C12255",2026-03-17,2026-03-29,13,"7.7.2"
"C12261",2026-02-16,2026-02-26,11,"7.7.2"
"C12303",2025-10-21,2025-11-24,35,"7.7.2"
"C12306",2025-10-16,2025-12-19,65,"7.7.2"
"C12327",2023-07-19,2023-10-15,89,"7.7.2"
"C12333",2025-08-30,2025-11-11,74,"7.7.2"
"C12336",2025-08-04,2025-12-14,133,"7.7.2"
"C12339",2024-03-05,2024-07-13,131,"7.7.2"
"C12345",2024-08-19,2024-09-18,31,"7.7.2"
"C12345",2025-08-16,2025-09-19,35,"7.7.2"
"C12348",2024-12-26,2025-02-15,52,"7.7.2"
"C12348",2025-12-01,2025-12-15,15,"7.7.2"
"C12354",2024-06-24,2024-07-22,29,"7.7.2"
"C12363",2024-03-30,2024-06-03,66,"7.7.2"
"C12366",2024-04-21,2024-05-03,13,"7.7.2"
"C12366",2025-03-02,2025-03-26,25,"7.7.2"
"C12369",2023-07-31,2023-09-18,50,"7.7.2"
"C12369",2024-02-01,2024-03-21,50,"7.7.2"
"C12372",2023-10-31,2023-11-24,25,"7.7.2"
"C12378",2023-11-13,2024-01-03,52,"7.7.2"
"C12381",2022-12-08,2023-10-10,307,"7.7.2"
"C12387",2025-08-21,2025-09-19,30,"7.7.2"
"C12390",2023-02-22,2023-10-05,226,"7.7.2"
"C12393",2023-07-05,2024-05-05,306,"7.7.2"
"C12396",2023-07-12,2023-10-29,110,"7.7.2"
"C12396",2025-11-30,2026-01-18,50,"7.7.2"
"C12399",2024-10-20,2026-03-06,503,"7.7.2"
"C12411",2026-01-16,2026-02-07,23,"7.7.2"
"C12414",2024-07-02,2026-03-09,616,"7.7.2"
"C12420",2021-04-20,2025-01-26,1378,"7.7.2"
"C12420",2025-11-04,2026-02-05,94,"7.7.2"
"C12429",2025-07-13,2025-10-08,88,"7.7.2"
"C12438",2024-12-06,2025-01-14,40,"7.7.2"
"C12447",2023-05-23,2024-01-21,244,"7.7.2"
"C12450",2025-03-14,2025-06-13,92,"7.7.2"
"C12453",2023-09-25,2025-03-04,527,"7.7.2"
"C12456",2023-08-26,2023-12-15,112,"7.7.2"
"C12459",2025-03-24,2025-04-26,34,"7.7.2"
"C12459",2025-09-19,2025-10-09,21,"7.7.2"
"C12462",2026-02-22,2026-03-14,21,"7.7.2"
"C12465",2021-11-04,2023-12-15,772,"7.7.2"
"C12474",2025-02-14,2026-02-21,373,"7.7.2"
"C12495",2025-11-18,2026-01-14,58,"7.7.2"
"C12501",2024-04-05,2024-10-30,209,"7.7.2"
"C12504",2023-05-18,2023-06-03,17,"7.7.2"
"C12507",2021-05-01,2023-10-11,894,"7.7.2"
"C12510",2023-02-11,2023-07-04,144,"7.7.2"
"C12513",2026-01-10,2026-01-30,21,"7.7.2"
"C12516",2024-06-14,2025-01-02,203,"7.7.2"
"C12534",2023-09-23,2023-12-14,83,"7.7.2"
"C12537",2023-06-19,2023-09-27,101,"7.7.2"
"C12537",2025-01-03,2025-10-01,272,"7.7.2"
"C12540",2023-06-19,2023-09-27,101,"7.7.2"
"C12546",2023-09-28,2023-11-10,44,"7.7.2"
"C12558",2024-12-28,2025-01-21,25,"7.7.2"
"C12564",2026-02-23,2026-03-28,34,"7.7.2"
"C12576",2024-04-24,2024-05-08,15,"7.7.2"
"C12576",2024-05-17,,,"7.7.2"
"C12579",2023-12-21,2024-01-10,21,"7.7.2"
"C12579",2024-02-08,2024-03-23,45,"7.7.2"
"C12579",2025-06-23,2025-08-12,51,"7.7.2"
"C12582",2025-04-24,2025-05-31,38,"7.7.2"
"C12603",2024-11-05,2024-11-17,13,"7.7.2"
"C12609",2023-10-12,2023-11-09,29,"7.7.2"
"C12612",2023-10-12,2023-11-09,29,"7.7.2"
"C12636",2024-10-05,2025-01-23,111,"7.7.2"
"C12639",2024-01-31,2024-12-05,310,"7.7.2"
"C12645",2022-08-20,2024-12-13,847,"7.7.2"
"C12648",2023-07-19,2024-01-11,177,"7.7.2"
"C12648",2025-04-04,2025-04-27,24,"7.7.2"
"C12651",2023-08-15,2025-07-05,691,"7.7.2"
"C12654",2023-10-16,2023-11-02,18,"7.7.2"
"C12657",2023-05-29,2024-11-22,544,"7.7.2"
"C12678",2023-09-26,2023-10-11,16,"7.7.2"
"C12693",2025-06-04,2025-08-11,69,"7.7.2"
"C12696",2023-08-31,2023-10-09,40,"7.7.2"
"C12699",2025-01-03,2025-12-02,334,"7.7.2"
"C12702",2024-08-20,2024-09-03,15,"7.7.2"
"C12711",2024-09-05,2025-02-02,151,"7.7.2"
"C12717",2024-10-21,2024-12-06,47,"7.7.2"
"C12720",2025-03-18,2025-05-06,50,"7.7.2"
"C12723",2022-04-09,2024-06-16,800,"7.7.2"
"C12723",2025-02-21,2025-03-06,14,"7.7.2"
"C12723",2025-06-25,2025-07-15,21,"7.7.2"
"C12723",2025-11-10,2025-12-17,38,"7.7.2"
"C12732",2022-05-08,2023-12-16,588,"7.7.2"
"C12735",2025-10-12,2025-10-24,13,"7.7.2"
"C12744",2023-11-17,2023-12-18,32,"7.7.2"
"C12768",2022-12-02,2023-12-20,384,"7.7.2"
"C12771",2022-12-02,2023-12-20,384,"7.7.2"
"C12774",2023-04-17,2023-06-03,48,"7.7.2"
"C12777",2022-07-06,2025-01-29,939,"7.7.2"
"C12783",2025-11-15,2025-11-28,14,"7.7.2"
"C12795",2025-08-18,2026-02-08,175,"7.7.2"
"C12801",2023-11-11,2024-01-02,53,"7.7.2"
"C12807",2026-01-14,2026-02-02,20,"7.7.2"
"C12813",2025-07-04,2025-11-06,126,"7.7.2"
"C12816",2025-07-04,2025-11-06,126,"7.7.2"
"C12819",2024-10-05,2025-11-07,399,"7.7.2"
"C12825",2023-10-18,2024-01-04,79,"7.7.2"
"C12837",2022-12-11,2023-12-27,382,"7.7.2"
"C12840",2024-10-12,2025-09-23,347,"7.7.2"
"C12846",2023-08-26,2024-07-29,339,"7.7.2"
"C12849",2023-10-01,2023-10-20,20,"7.7.2"
"C12852",2025-10-16,2025-12-19,65,"7.7.2"
"C12855",2025-10-16,2025-11-23,39,"7.7.2"
"C12858",2023-09-30,2024-02-09,133,"7.7.2"
"C12858",2025-05-12,2025-05-27,16,"7.7.2"
"C12858",2025-06-12,2025-10-15,126,"7.7.2"
"C12861",2024-10-27,2024-12-01,36,"7.7.2"
"C12867",2026-01-01,2026-01-14,14,"7.7.2"
"C12873",2024-05-17,2024-06-24,39,"7.7.2"
"C12876",2023-10-08,2023-10-24,17,"7.7.2"
"C12885",2024-02-12,2024-03-28,46,"7.7.2"
"C12885",2025-07-01,2025-08-11,42,"7.7.2"
"C12888",2025-06-01,2025-08-13,74,"7.7.2"
"C12891",2024-10-07,2024-10-27,21,"7.7.2"
"C12900",2023-11-04,2024-02-05,94,"7.7.2"
"C12903",2025-07-25,2025-10-03,71,"7.7.2"
"C12906",2025-07-25,2025-10-03,71,"7.7.2"
"C12912",2024-07-29,2024-08-10,13,"7.7.2"
"C12915",2025-02-03,2026-03-28,419,"7.7.2"
"C12921",2025-04-03,2026-01-14,287,"7.7.2"
"C12930",2024-08-05,2024-09-17,44,"7.7.2"
"C12930",2025-01-09,2026-03-07,423,"7.7.2"
"C12933",2025-11-02,2026-02-04,95,"7.7.2"
"C12936",2021-01-01,2025-06-26,1638,"7.7.2"
"C12942",2025-01-17,2025-01-30,14,"7.7.2"
"C12945",2025-11-24,2026-01-02,40,"7.7.2"
"C12963",2023-10-23,2023-12-04,43,"7.7.2"
"C12969",2026-01-25,2026-02-07,14,"7.7.2"
"C12981",2022-11-29,2025-11-28,1096,"7.7.2"
"C12984",2025-07-11,2025-08-03,24,"7.7.2"
"C12990",2025-07-19,2025-08-20,33,"7.7.2"
"C12993",2024-05-04,2024-06-11,39,"7.7.2"
"C12993",2025-01-10,2025-02-08,30,"7.7.2"
"C12993",2025-05-05,2025-05-28,24,"7.7.2"
"C12993",2025-10-04,2025-12-15,73,"7.7.2"
"C12996",2024-04-19,2024-09-12,147,"7.7.2"
"C12999",2025-03-20,2025-05-15,57,"7.7.2"
"C13011",2021-12-29,2024-08-30,976,"7.7.2"
"C13014",2025-07-04,2025-07-18,15,"7.7.2"
"C13017",2025-07-04,2025-07-18,15,"7.7.2"
"C13023",2021-11-09,2024-11-07,1095,"7.7.2"
"C13044",2025-07-19,2025-09-10,54,"7.7.2"
"C13047",2023-01-06,2024-02-02,393,"7.7.2"
"C13053",2023-11-06,2024-01-09,65,"7.7.2"
"C13053",2024-07-07,2025-02-05,214,"7.7.2"
"C13059",2024-06-14,2024-09-16,95,"7.7.2"
"C13065",2024-06-11,2024-07-14,34,"7.7.2"
"C13065",2025-12-13,2025-12-28,16,"7.7.2"
"C13080",2024-10-05,2025-04-17,195,"7.7.2"
"C13089",2024-10-24,2024-11-19,27,"7.7.2"
"C13092",2024-06-14,2025-01-02,203,"7.7.2"
"C13107",2020-12-16,2024-07-15,1308,"7.7.2"
"C13107",2025-12-05,2026-02-26,84,"7.7.2"
"C13125",2025-08-01,2025-08-15,15,"7.7.2"
"C13131",2024-02-03,2025-01-06,339,"7.7.2"
"C13143",2023-12-14,2024-04-11,120,"7.7.2"
"C13143",2024-10-02,,,"7.7.2"
"C13155",2025-11-01,2025-11-19,19,"7.7.2"
"C13158",2025-05-18,2025-12-25,222,"7.7.2"
"C13161",2023-10-08,2023-10-23,16,"7.7.2"
"C13167",2024-03-07,2024-05-13,68,"7.7.2"
"C13170",2025-04-19,2026-02-22,310,"7.7.2"
"C13173",2024-06-21,2024-07-31,41,"7.7.2"
"C13173",2025-07-24,2025-08-28,36,"7.7.2"
"C13182",2024-04-05,2024-10-04,183,"7.7.2"
"C13185",2023-08-21,2023-10-31,72,"7.7.2"
"C13188",2024-05-01,2024-10-22,175,"7.7.2"
"C13194",2024-07-19,2024-09-04,48,"7.7.2"
"C13200",2025-09-04,,,"7.7.2"
"C13206",2025-07-24,2025-11-13,113,"7.7.2"
"C13209",2023-03-08,2024-02-14,344,"7.7.2"
"C13209",2025-09-10,2026-02-13,157,"7.7.2"
"C13212",2025-04-26,2025-05-11,16,"7.7.2"
"C13215",2023-11-04,2024-01-21,79,"7.7.2"
"C13221",2024-11-15,2024-11-28,14,"7.7.2"
"C13230",2020-10-04,2023-09-13,1075,"7.7.2"
"C13230",2024-11-25,2024-12-11,17,"7.7.2"
