HoHID,HHType,Cohort,StartDate,EndDate,Step
"C12099",1,1,2025-07-28,2025-08-03,"6.12.2.b"
"C12099",1,1,2025-07-30,2025-08-05,"6.12.2.b"
"C12099",1,1,2025-07-31,2025-08-06,"6.12.2.b"
"C12099",1,1,2025-08-01,2025-08-07,"6.12.2.b"
"C12099",1,1,2025-08-02,2025-08-08,"6.12.2.b"
"C12099",1,1,2025-08-04,2025-08-10,"6.12.2.b"
"C12099",1,1,2025-08-08,2025-08-14,"6.12.2.b"
"C12099",1,1,2025-08-10,2025-08-16,"6.12.2.b"
"C12099",1,1,2025-08-13,2025-08-19,"6.12.2.b"
"C12099",1,1,2025-08-14,2025-08-20,"6.12.2.b"
"C12099",1,1,2025-08-14,2026-03-14,"6.12.2.a"
"C12099",1,1,2025-08-16,2025-08-22,"6.12.2.b"
"C12099",1,1,2025-08-17,2025-08-23,"6.12.2.b"
"C12099",1,1,2025-08-19,2025-08-25,"6.12.2.b"
"C12099",1,1,2025-08-21,2025-08-27,"6.12.2.b"
"C12099",1,1,2025-08-22,2025-08-28,"6.12.2.b"
"C12099",1,1,2025-08-25,2025-08-31,"6.12.2.b"
"C12099",1,1,2025-08-26,2025-09-01,"6.12.2.b"
"C12099",1,1,2025-08-27,2025-09-02,"6.12.2.b"
"C12309",1,1,2023-11-28,2023-12-06,"6.12.2.a"
"C12309",1,1,2023-12-01,2023-12-11,"6.12.2.a"
"C12309",1,1,2023-12-07,2023-12-13,"6.12.2.b"
"C12309",1,1,2023-12-13,2023-12-19,"6.12.2.b"
"C12309",1,1,2023-12-14,2023-12-20,"6.12.2.b"
"C12309",1,1,2023-12-17,2023-12-23,"6.12.2.b"
"C12309",1,1,2023-12-22,2024-01-11,"6.12.2.a"
"C12309",1,1,2024-01-26,2024-02-01,"6.12.2.b"
"C12309",1,1,2024-01-28,2024-02-03,"6.12.2.b"
"C12309",1,1,2024-02-03,2026-02-21,"6.12.2.a"
"C12309",1,1,2024-02-19,2024-02-25,"6.12.2.b"
"C12309",1,1,2024-02-26,2024-03-03,"6.12.2.b"
"C12390",1,1,2023-04-21,2023-10-11,"6.12.2.a"
"C12390",1,1,2023-08-04,2023-08-10,"6.12.2.b"
"C12390",1,1,2023-08-14,2023-08-20,"6.12.2.b"
"C12390",1,1,2023-08-16,2023-08-22,"6.12.2.b"
"C12390",1,1,2023-08-20,2023-08-26,"6.12.2.b"
"C12390",1,1,2023-08-23,2023-08-29,"6.12.2.b"
"C12390",1,1,2023-08-24,2023-08-30,"6.12.2.b"
"C12390",1,1,2023-08-27,2023-09-02,"6.12.2.b"
"C12390",1,1,2023-08-31,2023-09-06,"6.12.2.b"
"C12390",1,1,2023-09-02,2023-09-08,"6.12.2.b"
"C12390",1,1,2023-09-08,2023-09-14,"6.12.2.b"
"C12390",1,1,2023-09-10,2023-09-16,"6.12.2.b"
"C12390",1,1,2023-09-11,2023-09-17,"6.12.2.b"
"C12390",1,1,2023-09-12,2023-09-18,"6.12.2.b"
"C12390",1,1,2023-11-18,2023-12-25,"6.12.2.a"
"C12390",1,1,2023-12-20,2024-01-06,"6.12.2.a"
"C12390",1,1,2024-01-04,2024-01-25,"6.12.2.a"
"C12390",1,1,2024-01-20,2025-06-25,"6.12.2.a"
"C12390",1,1,2025-06-20,2026-09-30,"6.12.2.a"
"C12417",1,1,2024-02-19,2024-02-25,"6.12.2.b"
"C12417",1,1,2024-02-21,2024-02-27,"6.12.2.b"
"C12417",1,1,2024-02-22,2024-02-28,"6.12.2.b"
"C12417",1,1,2024-02-23,2024-02-29,"6.12.2.b"
"C12417",1,1,2024-02-25,2024-03-02,"6.12.2.b"
"C12417",1,1,2024-02-26,2024-03-03,"6.12.2.b"
"C12417",1,1,2024-02-27,2024-03-04,"6.12.2.b"
"C12417",1,1,2024-03-01,2024-03-07,"6.12.2.b"
"C12417",1,1,2024-03-02,2024-03-08,"6.12.2.b"
"C12417",1,1,2024-03-05,2024-03-11,"6.12.2.b"
"C12417",1,1,2024-03-08,2024-03-14,"6.12.2.b"
"C12417",1,1,2024-03-09,2024-03-15,"6.12.2.b"
"C12417",1,1,2024-03-10,2024-03-16,"6.12.2.b"
"C12417",1,1,2024-03-11,2026-01-10,"6.12.2.a"
"C12417",1,1,2024-03-12,2024-03-18,"6.12.2.b"
"C12417",1,1,2024-03-13,2024-03-19,"6.12.2.b"
"C12417",1,1,2024-03-14,2024-03-20,"6.12.2.b"
"C12417",1,1,2024-03-15,2024-03-21,"6.12.2.b"
"C12417",1,1,2024-03-16,2024-03-22,"6.12.2.b"
"C12417",1,1,2024-03-17,2024-03-23,"6.12.2.b"
"C12417",1,1,2024-03-20,2024-03-26,"6.12.2.b"
"C12417",1,1,2024-03-21,2024-03-27,"6.12.2.b"
"C12417",1,1,2024-03-25,2024-03-31,"6.12.2.b"
"C12417",1,1,2024-03-26,2024-04-01,"6.12.2.b"
"C12417",1,1,2024-03-27,2024-04-02,"6.12.2.b"
"C12417",1,1,2024-03-29,2024-04-04,"6.12.2.b"
"C12417",1,1,2024-03-30,2024-04-05,"6.12.2.b"
"C12417",1,1,2024-03-31,2024-04-06,"6.12.2.b"
"C12417",1,1,2024-04-01,2024-04-07,"6.12.2.b"
"C12417",1,1,2024-04-02,2024-04-08,"6.12.2.b"
"C12420",1,1,2024-04-16,2024-04-22,"6.12.2.b"
"C12420",1,1,2024-04-18,2024-04-24,"6.12.2.b"
"C12420",1,1,2024-09-24,2024-09-30,"6.12.2.b"
"C12420",1,1,2024-09-25,2024-10-01,"6.12.2.b"
"C12420",1,1,2024-09-26,2024-10-02,"6.12.2.b"
"C12420",1,1,2024-09-29,2024-10-05,"6.12.2.b"
"C12420",1,1,2024-10-02,2024-10-08,"6.12.2.b"
"C12420",1,1,2024-10-25,2024-10-31,"6.12.2.b"
"C12420",1,1,2024-10-26,2024-11-01,"6.12.2.b"
"C12420",1,1,2024-10-30,2024-11-05,"6.12.2.b"
"C12420",1,1,2024-10-31,2024-11-06,"6.12.2.b"
"C12420",1,1,2024-12-01,2025-11-10,"6.12.2.a"
"C12420",1,1,2024-12-02,2024-12-08,"6.12.2.b"
"C12420",1,1,2024-12-03,2024-12-09,"6.12.2.b"
"C12420",1,1,2024-12-04,2024-12-10,"6.12.2.b"
"C12420",1,1,2024-12-07,2024-12-13,"6.12.2.b"
"C12420",1,1,2024-12-10,2024-12-16,"6.12.2.b"
"C12420",1,1,2024-12-11,2024-12-17,"6.12.2.b"
"C12420",1,1,2024-12-13,2024-12-19,"6.12.2.b"
"C12420",1,1,2024-12-14,2024-12-20,"6.12.2.b"
"C12420",1,1,2024-12-16,2024-12-22,"6.12.2.b"
"C12420",1,1,2024-12-17,2024-12-23,"6.12.2.b"
"C12420",1,1,2024-12-18,2024-12-24,"6.12.2.b"
"C12420",1,1,2024-12-19,2024-12-25,"6.12.2.b"
"C12420",1,1,2024-12-20,2024-12-26,"6.12.2.b"
"C12420",1,1,2024-12-27,2025-01-02,"6.12.2.b"
"C12420",1,1,2024-12-30,2025-01-05,"6.12.2.b"
"C12420",1,1,2025-01-01,2025-01-07,"6.12.2.b"
"C12420",1,1,2025-01-04,2025-01-10,"6.12.2.b"
"C12420",1,1,2025-01-07,2025-01-13,"6.12.2.b"
"C12420",1,1,2025-01-08,2025-01-14,"6.12.2.b"
"C12420",1,1,2025-01-10,2025-01-16,"6.12.2.b"
"C12420",1,1,2025-01-25,2025-02-14,"6.12.2.a"
"C12420",1,1,2025-09-02,2025-09-08,"6.12.2.b"
"C12420",1,1,2025-09-03,2025-09-09,"6.12.2.b"
"C12420",1,1,2025-09-04,2025-09-10,"6.12.2.b"
"C12420",1,1,2025-09-05,2025-09-11,"6.12.2.b"
"C12420",1,1,2025-09-07,2025-09-13,"6.12.2.b"
"C12420",1,1,2025-09-09,2025-09-15,"6.12.2.b"
"C12420",1,1,2025-09-10,2025-09-16,"6.12.2.b"
"C12420",1,1,2025-09-11,2025-09-17,"6.12.2.b"
"C12420",1,1,2025-09-12,2025-09-18,"6.12.2.b"
"C12420",1,1,2025-09-14,2025-09-20,"6.12.2.b"
"C12420",1,1,2025-09-15,2025-09-21,"6.12.2.b"
"C12420",1,1,2025-09-16,2025-09-22,"6.12.2.b"
"C12420",1,1,2025-09-17,2025-09-23,"6.12.2.b"
"C12420",1,1,2025-09-18,2025-09-24,"6.12.2.b"
"C12420",1,1,2025-09-19,2025-09-25,"6.12.2.b"
"C12420",1,1,2025-09-20,2025-09-26,"6.12.2.b"
"C12420",1,1,2025-09-21,2025-09-27,"6.12.2.b"
"C12420",1,1,2025-09-23,2025-09-29,"6.12.2.b"
"C12420",1,1,2025-09-24,2025-09-30,"6.12.2.b"
"C12420",1,1,2025-09-25,2025-10-01,"6.12.2.b"
"C12420",1,1,2025-09-26,2025-10-02,"6.12.2.b"
"C12420",1,1,2025-09-27,2025-10-03,"6.12.2.b"
"C12420",1,1,2025-09-28,2025-10-04,"6.12.2.b"
"C12420",1,1,2025-09-30,2025-10-06,"6.12.2.b"
"C12420",1,1,2025-10-01,2025-10-07,"6.12.2.b"
"C12420",1,1,2025-10-02,2025-10-08,"6.12.2.b"
"C12420",1,1,2025-10-03,2025-10-09,"6.12.2.b"
"C12420",1,1,2025-10-05,2025-10-11,"6.12.2.b"
"C12420",1,1,2025-11-10,2025-11-16,"6.12.2.b"
"C12420",1,1,2025-11-16,2025-12-01,"6.12.2.a"
"C12420",1,1,2025-11-27,2025-12-09,"6.12.2.a"
"C12420",1,1,2025-12-05,2025-12-15,"6.12.2.a"
"C12420",1,1,2025-12-11,2025-12-24,"6.12.2.a"
"C12420",1,1,2025-12-20,2026-01-04,"6.12.2.a"
"C12420",1,1,2026-01-01,2026-01-21,"6.12.2.a"
"C12420",1,1,2026-01-21,2026-02-01,"6.12.2.a"
"C12420",1,1,2026-01-28,2026-02-04,"6.12.2.a"
"C12420",1,1,2026-02-04,2026-02-10,"6.12.2.b"
"C12420",1,1,2026-05-03,2026-09-30,"6.12.2.a"
"C12477",1,1,2023-10-05,2023-10-21,"6.12.2.a"
"C12477",1,1,2023-10-16,2023-10-30,"6.12.2.a"
"C12477",1,1,2023-10-28,2023-12-11,"6.12.2.a"
"C12477",1,1,2023-12-07,2024-01-15,"6.12.2.a"
"C12477",1,1,2024-01-12,2024-01-23,"6.12.2.a"
"C12477",1,1,2024-01-20,2024-01-26,"6.12.2.b"
"C12477",1,1,2024-01-22,2024-01-28,"6.12.2.b"
"C12477",1,1,2024-01-23,2024-01-29,"6.12.2.b"
"C12477",1,1,2024-01-25,2024-01-31,"6.12.2.b"
"C12477",1,1,2024-01-29,2024-02-04,"6.12.2.b"
"C12477",1,1,2024-01-30,2024-02-05,"6.12.2.b"
"C12477",1,1,2024-02-01,2024-02-07,"6.12.2.b"
"C12477",1,1,2024-02-02,2024-02-08,"6.12.2.b"
"C12477",1,1,2024-02-03,2024-02-09,"6.12.2.b"
"C12477",1,1,2024-02-04,2024-02-10,"6.12.2.b"
"C12477",1,1,2024-02-05,2024-02-11,"6.12.2.b"
"C12477",1,1,2024-02-07,2024-02-13,"6.12.2.b"
"C12477",1,1,2024-02-10,2024-02-16,"6.12.2.b"
"C12477",1,1,2024-02-12,2024-02-18,"6.12.2.b"
"C12477",1,1,2024-02-14,2024-02-20,"6.12.2.b"
"C12477",1,1,2024-02-15,2024-02-21,"6.12.2.b"
"C12477",1,1,2024-02-16,2024-02-22,"6.12.2.b"
"C12477",1,1,2024-02-17,2024-02-23,"6.12.2.b"
"C12477",1,1,2024-02-21,2024-02-27,"6.12.2.b"
"C12477",1,1,2024-02-22,2025-12-17,"6.12.2.a"
"C12477",1,1,2024-02-23,2024-02-29,"6.12.2.b"
"C12477",1,1,2024-02-24,2024-03-01,"6.12.2.b"
"C12477",1,1,2024-02-25,2024-03-02,"6.12.2.b"
"C12477",1,1,2024-02-26,2024-03-03,"6.12.2.b"
"C12477",1,1,2024-02-28,2024-03-05,"6.12.2.b"
"C12477",1,1,2024-03-02,2024-03-08,"6.12.2.b"
"C12477",1,1,2024-03-06,2024-03-12,"6.12.2.b"
"C12477",1,1,2024-03-07,2024-03-13,"6.12.2.b"
"C12477",1,1,2025-12-12,2026-09-30,"6.12.2.a"
"C12753",2,1,2024-08-31,2024-09-06,"6.12.2.b"
"C12753",2,1,2024-09-03,2026-08-01,"6.12.2.a"
"C12753",2,1,2024-09-08,2024-09-14,"6.12.2.b"
"C12981",2,1,2025-07-01,2025-07-07,"6.12.2.b"
"C12981",2,1,2025-07-03,2025-07-09,"6.12.2.b"
"C12981",2,1,2025-07-04,2025-07-10,"6.12.2.b"
"C12981",2,1,2025-07-06,2025-07-12,"6.12.2.b"
"C12981",2,1,2025-07-07,2025-07-13,"6.12.2.b"
"C12981",2,1,2025-07-20,2025-07-26,"6.12.2.b"
"C12981",2,1,2025-07-23,2025-07-29,"6.12.2.b"
"C12981",2,1,2025-07-26,2025-08-01,"6.12.2.b"
"C12981",2,1,2025-07-30,2025-08-05,"6.12.2.b"
"C12981",2,1,2025-08-01,2025-08-07,"6.12.2.b"
"C12981",2,1,2025-08-05,2025-08-11,"6.12.2.b"
"C12981",2,1,2025-08-07,2025-08-13,"6.12.2.b"
"C12981",2,1,2025-08-07,2025-12-04,"6.12.2.a"
"C12981",2,1,2025-08-13,2025-08-19,"6.12.2.b"
"C12981",2,1,2025-08-17,2025-08-23,"6.12.2.b"
"C12981",2,1,2025-08-19,2025-08-25,"6.12.2.b"
"C12981",2,1,2025-08-20,2025-08-26,"6.12.2.b"
"C12981",2,1,2025-08-26,2025-09-01,"6.12.2.b"
"C12981",2,1,2025-08-29,2025-09-04,"6.12.2.b"
"C12981",2,1,2025-08-30,2025-09-05,"6.12.2.b"
"C12981",2,1,2025-09-07,2025-09-13,"6.12.2.b"
"C12981",2,1,2025-09-10,2025-09-16,"6.12.2.b"
"C12981",2,1,2025-09-11,2025-09-17,"6.12.2.b"
"C12981",2,1,2025-09-12,2025-09-18,"6.12.2.b"
"C12981",2,1,2025-09-19,2025-09-25,"6.12.2.b"
"C12981",2,1,2025-09-20,2025-09-26,"6.12.2.b"
"C12981",2,1,2025-09-21,2025-09-27,"6.12.2.b"
"C12981",2,1,2025-09-24,2025-09-30,"6.12.2.b"
"C12981",2,1,2026-06-26,2026-07-02,"6.12.2.b"
"C12981",2,1,2026-06-28,2026-07-04,"6.12.2.b"
"C12981",2,1,2026-07-01,2026-07-07,"6.12.2.b"
"C12981",2,1,2026-07-03,2026-07-09,"6.12.2.b"
"C12981",2,1,2026-07-05,2026-09-30,"6.12.2.a"
"C12981",2,1,2026-07-17,2026-07-23,"6.12.2.b"
"C12981",2,1,2026-07-29,2026-08-04,"6.12.2.b"
"C13086",1,1,2025-06-26,2025-08-15,"6.12.2.a"
"C13086",1,1,2025-07-24,2026-01-11,"6.12.2.a"
"C13086",1,1,2025-09-15,2026-04-02,"6.12.2.a"
"C13086",1,1,2026-01-06,2026-04-29,"6.12.2.a"
"C13134",1,1,2023-12-12,2023-12-30,"6.12.2.a"
"C13134",1,1,2023-12-27,2024-01-16,"6.12.2.a"
"C13134",1,1,2024-01-16,2024-02-05,"6.12.2.a"
"C13134",1,1,2024-10-21,2024-11-10,"6.12.2.a"
"C13134",1,1,2024-11-07,2024-11-28,"6.12.2.a"
"C13134",1,1,2024-11-25,2024-12-17,"6.12.2.a"
"C13134",1,1,2024-12-12,2024-12-26,"6.12.2.a"
"C13134",1,1,2024-12-24,2024-12-31,"6.12.2.a"
"C13134",1,1,2024-12-27,2025-01-08,"6.12.2.a"
"C13134",1,1,2025-01-04,2025-01-16,"6.12.2.a"
"C13134",1,1,2025-01-11,2025-01-25,"6.12.2.a"
"C13134",1,1,2025-01-22,2025-01-31,"6.12.2.a"
"C13134",1,1,2025-01-26,2025-02-02,"6.12.2.a"
"C13134",1,1,2025-01-27,2025-11-21,"6.12.2.a"
"C13134",1,1,2026-04-20,2026-09-30,"6.12.2.a"
"C13164",1,1,2023-08-27,2023-09-02,"6.12.2.b"
"C13164",1,1,2023-08-29,2023-09-04,"6.12.2.b"
"C13164",1,1,2023-08-31,2023-09-06,"6.12.2.b"
"C13164",1,1,2023-09-01,2023-09-07,"6.12.2.b"
"C13164",1,1,2023-09-02,2023-09-08,"6.12.2.b"
"C13164",1,1,2023-09-03,2023-09-09,"6.12.2.b"
"C13164",1,1,2023-09-05,2023-09-11,"6.12.2.b"
"C13164",1,1,2023-09-07,2023-09-13,"6.12.2.b"
"C13164",1,1,2023-09-15,2023-09-21,"6.12.2.b"
"C13164",1,1,2023-09-17,2023-09-23,"6.12.2.b"
"C13164",1,1,2023-10-13,2023-10-20,"6.12.2.a"
"C13164",1,1,2023-10-16,2023-10-23,"6.12.2.a"
"C13164",1,1,2023-10-18,2023-10-26,"6.12.2.a"
"C13164",1,1,2023-10-25,2023-11-04,"6.12.2.a"
"C13164",1,1,2023-11-18,2023-11-30,"6.12.2.a"
"C13164",1,1,2023-11-25,2023-12-07,"6.12.2.a"
"C13164",1,1,2023-12-03,2025-11-08,"6.12.2.a"
"C13164",1,1,2024-07-10,2024-07-16,"6.12.2.b"
"C13164",1,1,2025-02-17,2025-02-23,"6.12.2.b"
"C13164",1,1,2025-02-21,2025-02-27,"6.12.2.b"
"C13164",1,1,2025-11-02,2026-09-30,"6.12.2.a"
"C13257",1,1,2023-02-13,2023-10-12,"6.12.2.a"
"C13257",1,1,2023-10-29,2023-11-22,"6.12.2.a"
"C13257",1,1,2024-01-21,2024-01-27,"6.12.2.b"
"C13257",1,1,2024-01-24,2024-01-30,"6.12.2.b"
"C13257",1,1,2024-01-26,2025-03-14,"6.12.2.a"
"C13257",1,1,2025-03-09,2026-09-30,"6.12.2.a"
"C13257",1,1,2025-06-14,2025-06-20,"6.12.2.b"
"C13257",1,1,2025-06-15,2025-06-21,"6.12.2.b"
"C13257",1,1,2025-06-28,2025-07-04,"6.12.2.b"
"C13257",1,1,2025-06-29,2025-07-05,"6.12.2.b"
"C13257",1,1,2025-06-30,2025-07-06,"6.12.2.b"
"C13257",1,1,2025-07-03,2025-07-09,"6.12.2.b"
"C13260",1,1,2024-06-01,2024-06-07,"6.12.2.b"
"C13260",1,1,2024-06-02,2024-06-08,"6.12.2.b"
"C13260",1,1,2024-06-03,2024-06-09,"6.12.2.b"
"C13260",1,1,2024-06-04,2024-06-10,"6.12.2.b"
"C13260",1,1,2024-06-06,2024-06-12,"6.12.2.b"
"C13260",1,1,2024-06-07,2024-06-13,"6.12.2.b"
"C13260",1,1,2024-06-08,2024-06-14,"6.12.2.b"
"C13260",1,1,2024-06-09,2024-06-15,"6.12.2.b"
"C13260",1,1,2024-06-11,2024-06-17,"6.12.2.b"
"C13260",1,1,2024-06-12,2024-06-18,"6.12.2.b"
"C13260",1,1,2024-06-13,2024-06-19,"6.12.2.b"
"C13260",1,1,2024-06-14,2024-06-20,"6.12.2.b"
"C13260",1,1,2024-06-15,2024-06-21,"6.12.2.b"
"C13260",1,1,2024-06-16,2024-06-22,"6.12.2.b"
"C13260",1,1,2024-06-17,2024-06-23,"6.12.2.b"
"C13260",1,1,2024-06-18,2024-06-24,"6.12.2.b"
"C13260",1,1,2024-06-19,2024-06-25,"6.12.2.b"
"C13260",1,1,2024-06-20,2024-06-26,"6.12.2.b"
"C13260",1,1,2024-06-21,2024-06-27,"6.12.2.b"
"C13260",1,1,2024-06-22,2024-06-28,"6.12.2.b"
"C13260",1,1,2024-06-23,2024-06-29,"6.12.2.b"
"C13260",1,1,2024-06-24,2024-06-30,"6.12.2.b"
"C13260",1,1,2024-06-24,2025-06-09,"6.12.2.a"
"C13260",1,1,2024-06-25,2024-07-01,"6.12.2.b"
"C13260",1,1,2024-06-26,2024-07-02,"6.12.2.b"
"C13260",1,1,2024-06-27,2024-07-03,"6.12.2.b"
"C13260",1,1,2024-06-28,2024-07-04,"6.12.2.b"
"C13260",1,1,2024-06-29,2024-07-05,"6.12.2.b"
"C13260",1,1,2024-06-30,2024-07-06,"6.12.2.b"
"C13260",1,1,2024-07-04,2024-07-10,"6.12.2.b"
"C13260",1,1,2024-07-05,2024-07-11,"6.12.2.b"
"C13260",1,1,2024-07-06,2024-07-12,"6.12.2.b"
"C13260",1,1,2024-07-07,2024-07-13,"6.12.2.b"
"C13260",1,1,2024-07-08,2024-07-14,"6.12.2.b"
"C13260",1,1,2024-07-09,2024-07-15,"6.12.2.b"
"C13260",1,1,2024-07-10,2024-07-16,"6.12.2.b"
