HoHID,HHType,FirstEntry,LastInactive,Stat,StatEnrollmentID,ReturnTime,HHChronic,HHVet,HHDisability,HHFleeingDV,HoHRaceEthnicity,HHAdult,HHChild,HHNoDOB,HHAdultAge,HHParent,ESTStatus,ESTGeography,ESTLivingSit,ESTDestination,ESTChronic,ESTVet,ESTDisability,ESTFleeingDV,ESTAC3Plus,ESTAdultAge,ESTParent,RRHStatus,RRHMoveIn,RRHGeography,RRHLivingSit,RRHDestination,RRHPreMoveInDays,RRHChronic,RRHVet,RRHDisability,RRHFleeingDV,RRHAC3Plus,RRHAdultAge,RRHParent,PSHStatus,PSHMoveIn,PSHGeography,PSHLivingSit,PSHDestination,PSHHousedDays,PSHChronic,PSHVet,PSHDisability,PSHFleeingDV,PSHAC3Plus,PSHAdultAge,PSHParent,ESDays,THDays,ESTDays,RRHPSHPreMoveInDays,RRHHousedDays,SystemDaysNotPSHHoused,SystemHomelessDays,Other3917Days,TotalHomelessDays,SystemPath,ESTAIR,RRHAIR,PSHAIR,RRHSOStatus,RRHSOMoveIn,ReportID,Step
"C11028",1,2025-10-06,2025-10-05,2,"RSO15218675",212,9,0,1,2,126,1,0,0,55,0,22,3,434,312,0,0,1,2,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,237,0,237,0,0,237,237,0,237,1,1,0,0,0,-1,607271242,"6.18"
"C11031",1,2026-01-05,2026-01-04,2,"RRH15618813",230,1,0,1,0,147,1,0,0,55,0,21,1,101,-1,1,0,1,0,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,260,0,260,0,0,260,260,9,269,1,1,0,0,0,-1,607271242,"6.18"
"C11034",1,2025-09-13,2025-09-12,5,,-1,0,0,1,2,167,1,0,0,25,0,12,3,116,410,0,0,1,2,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,38,0,38,0,0,38,38,3,41,1,1,0,0,0,-1,607271242,"6.18"
"C11043",1,2025-07-24,2025-03-30,5,"RRH13219115",-1,9,0,1,0,5,1,0,0,55,0,2,-1,-1,-1,0,0,0,0,0,-1,0,2,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,11,2,2,116,-1,433,0,0,1,0,0,55,0,30,0,30,14,0,44,44,115,159,-1,0,0,1,0,-1,607271242,"6.18"
"C11046",1,2025-10-10,2025-10-09,2,"NXS10615438",452,0,0,0,2,5,1,0,0,25,0,22,1,206,428,0,0,0,2,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,41,0,41,0,0,41,41,0,41,1,1,0,0,0,-1,607271242,"6.18"
"C11058",1,2026-04-29,2026-04-28,1,,-1,0,0,0,0,5,1,0,0,25,0,22,3,336,99,0,0,0,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,15,0,15,0,0,15,15,2014,2029,1,1,0,0,0,-1,607271242,"6.18"
"C11061",1,2026-04-06,2026-04-05,1,,-1,0,0,0,0,5,1,0,0,55,0,21,3,335,-1,0,0,0,0,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,85,0,85,0,0,85,85,93,178,1,1,0,0,0,-1,607271242,"6.18"
"C11070",2,2025-11-27,2025-11-26,1,,-1,0,0,0,0,5,1,2,0,25,1,22,1,434,431,0,0,0,0,0,25,1,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,58,0,58,0,0,58,58,0,58,1,1,0,0,0,-1,607271242,"6.18"
"C11082",1,2026-06-24,2026-06-23,1,,-1,0,0,1,0,5,1,0,0,55,0,21,3,336,-1,0,0,1,0,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,99,0,99,0,0,99,99,11,110,1,1,0,0,0,-1,607271242,"6.18"
"C11133",2,2026-04-10,2026-04-09,1,,-1,4,0,0,2,35,1,1,0,18,1,22,1,335,420,0,0,0,2,0,18,1,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,22,0,22,0,0,22,22,5,27,1,1,0,0,0,-1,607271242,"6.18"
"C11139",1,2026-02-17,2026-02-16,1,,-1,1,0,1,2,6,1,0,0,18,0,22,1,336,99,1,0,1,2,0,18,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,59,0,59,0,0,59,59,62,121,1,1,0,0,0,-1,607271242,"6.18"
"C11145",1,2025-08-09,2025-08-08,5,,-1,0,0,0,0,5,1,0,0,25,0,12,3,101,99,0,0,0,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,73,0,73,0,0,73,73,0,73,1,1,0,0,0,-1,607271242,"6.18"
"C11148",1,2025-10-04,2025-10-03,1,,-1,4,0,0,2,3,1,0,0,18,0,22,1,335,99,0,0,0,2,0,18,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,17,0,17,0,0,17,17,15,32,1,1,0,0,0,-1,607271242,"6.18"
"C11154",1,2023-12-23,2023-12-22,5,,-1,1,0,1,0,5,1,0,0,55,0,11,3,101,-1,1,0,1,0,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,1013,0,1013,0,0,1013,1013,0,1013,1,1,0,0,0,-1,607271242,"6.18"
"C11163",3,2025-11-11,2025-11-10,3,"NXS10618441",239,0,0,0,2,5,0,1,0,-1,0,22,1,336,99,0,0,0,2,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,14,0,14,0,0,14,14,280,294,1,1,0,0,0,-1,607271242,"6.18"
"C11166",1,2026-06-29,2026-06-28,1,,-1,0,0,0,0,3,1,0,0,25,0,21,1,116,-1,0,0,0,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,15,0,15,0,0,15,15,8,23,1,1,0,0,0,-1,607271242,"6.18"
"C11172",1,2026-04-19,2026-04-18,3,"TRN11818909",369,1,1,1,0,5,1,0,0,55,0,22,1,99,99,1,1,1,0,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,1,0,1,0,0,1,1,4,5,1,1,0,0,0,-1,607271242,"6.18"
"C11196",1,2025-01-07,2025-01-06,5,"NXS11115645",-1,2,0,1,2,2,2,0,0,25,0,0,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,11,2,1,116,-1,631,0,0,1,2,0,25,0,0,0,0,1,0,1,1,584,585,-1,0,0,1,0,-1,607271242,"6.18"
"C11202",1,2026-03-12,2026-03-11,1,,-1,0,0,1,0,5,1,0,0,25,0,21,1,99,-1,0,0,1,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,29,0,29,0,0,29,29,3,32,1,1,0,0,0,-1,607271242,"6.18"
"C11205",1,2025-10-14,2025-10-13,1,,-1,0,0,1,0,5,1,0,0,18,0,22,3,335,312,0,0,1,0,0,18,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,17,0,17,0,0,17,17,150,167,1,1,0,0,0,-1,607271242,"6.18"
"C11208",1,2025-06-02,2025-06-01,1,,-1,9,0,1,0,5,1,0,0,25,0,0,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,2,607271242,"6.18"
"C11211",2,2026-06-14,2026-06-13,1,,-1,0,0,0,1,3,1,3,0,25,1,21,1,335,-1,0,0,0,1,1,25,1,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,109,0,109,0,0,109,109,36,145,1,1,0,0,0,-1,607271242,"6.18"
"C11214",1,2025-11-21,2025-11-20,4,"NBN10514715",648,1,0,1,0,3,1,0,0,25,0,22,1,101,116,1,0,1,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,59,0,59,0,0,59,59,48,107,1,1,0,0,0,-1,607271242,"6.18"
"C11220",2,2026-01-12,2026-01-11,1,,-1,0,0,1,0,4,1,1,0,25,1,22,1,116,99,0,0,1,0,0,25,1,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,61,0,61,0,0,61,61,3,64,1,1,0,0,0,-1,607271242,"6.18"
"C11223",1,2026-06-09,2026-06-08,1,,-1,0,1,1,0,5,1,0,0,25,0,21,1,99,-1,0,1,1,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,24,0,24,0,0,24,24,7,31,1,1,0,0,0,-1,607271242,"6.18"
"C11226",2,2025-10-24,2025-10-23,1,,-1,9,0,1,0,5,1,1,0,25,1,22,1,314,312,0,0,1,0,0,25,1,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,64,0,64,0,0,64,64,0,64,1,1,0,0,0,-1,607271242,"6.18"
"C11229",1,2025-12-11,2025-12-10,1,,-1,0,0,1,2,3,1,0,0,25,0,22,1,116,99,0,0,1,2,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,14,0,14,0,0,14,14,35,49,1,1,0,0,0,-1,607271242,"6.18"
"C11232",2,2025-11-29,2025-11-28,1,,-1,0,0,0,2,3,1,2,0,25,1,22,1,336,99,0,0,0,2,0,25,1,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,32,0,32,0,0,32,32,2,34,1,1,0,0,0,-1,607271242,"6.18"
"C11238",99,2026-05-18,2026-05-17,1,,-1,0,0,0,0,5,0,0,1,-1,0,22,1,314,314,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,32,0,32,0,0,32,32,165,197,1,1,0,0,0,-1,607271242,"6.18"
"C11247",1,2026-01-13,2026-01-12,1,,-1,0,0,1,0,6,1,0,0,25,0,22,3,336,420,0,0,1,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,116,0,116,0,0,116,116,2,118,1,1,0,0,22,0,607271242,"6.18"
"C11250",1,2026-02-02,2026-02-01,1,,-1,0,0,1,2,3,1,0,0,25,0,22,1,336,98,0,0,1,2,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,20,0,20,0,0,20,20,2,22,1,1,0,0,0,-1,607271242,"6.18"
"C11253",1,2025-07-19,2025-07-18,5,"NXS10617157",-1,4,0,0,0,3,1,0,0,25,0,12,1,118,422,0,0,0,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,264,0,264,0,0,264,264,54,318,1,1,0,0,0,-1,607271242,"6.18"
"C11259",1,2026-03-21,2026-03-20,1,,-1,0,1,1,0,5,1,0,0,55,0,22,3,101,98,0,1,1,0,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,20,0,20,0,0,20,20,155,175,1,1,0,0,0,-1,607271242,"6.18"
"C11262",1,2025-12-01,2025-11-30,1,,-1,1,0,1,2,56,1,0,0,25,0,22,3,207,312,1,0,1,2,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,14,0,14,0,0,14,14,10,24,1,1,0,0,0,-1,607271242,"6.18"
"C11268",1,2025-11-14,2025-11-13,4,"NXS10615715",470,0,0,1,0,3,1,0,0,25,0,22,1,116,99,0,0,1,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,14,0,14,0,0,14,14,7,21,1,1,0,0,0,-1,607271242,"6.18"
"C11289",1,2026-07-26,2026-07-25,1,,-1,1,0,1,2,5,1,0,0,25,0,21,1,116,-1,1,0,1,2,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,67,0,67,0,0,67,67,387,454,1,1,0,0,0,-1,607271242,"6.18"
"C11292",1,2025-10-07,2025-10-06,3,"NXS11019257",141,1,0,1,2,5,1,0,0,25,0,22,1,314,312,1,0,1,2,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,23,0,23,0,0,23,23,0,23,1,1,0,0,0,-1,607271242,"6.18"
"C11295",1,2025-11-15,2025-11-14,1,,-1,0,0,0,2,56,1,0,0,55,0,22,1,336,99,0,0,0,2,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,37,0,37,0,0,37,37,15,52,1,1,0,0,0,-1,607271242,"6.18"
"C11313",1,2026-05-23,2026-05-22,3,"NXS10617751",504,0,0,1,0,5,1,0,0,25,0,22,1,116,410,0,0,1,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,33,0,33,0,0,33,33,6,39,1,1,0,0,0,-1,607271242,"6.18"
"C11319",1,2026-03-04,2026-03-03,1,,-1,0,0,0,0,5,1,0,0,25,0,22,1,335,99,0,0,0,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,17,0,17,0,0,17,17,0,17,1,1,0,0,0,-1,607271242,"6.18"
"C11328",1,2025-08-07,2025-08-06,5,,-1,0,0,1,0,5,1,0,0,25,0,12,3,116,410,0,0,1,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,165,0,165,0,0,165,165,4,169,1,1,0,0,0,-1,607271242,"6.18"
"C11331",2,2026-06-21,2026-06-20,1,,-1,0,0,0,2,3,1,3,0,25,1,21,1,116,-1,0,0,0,2,1,25,1,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,102,0,102,0,0,102,102,32,134,1,1,0,0,0,-1,607271242,"6.18"
"C11349",2,2026-02-16,2026-02-15,1,,-1,0,0,0,1,5,1,1,0,25,1,22,1,101,99,0,0,0,1,0,25,1,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,27,0,27,0,0,27,27,8,35,1,1,0,0,0,-1,607271242,"6.18"
"C11370",1,2026-07-11,2026-07-10,1,,-1,0,1,1,0,26,1,0,0,55,0,21,1,410,-1,0,1,1,0,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,82,0,82,0,0,82,82,6,88,1,1,0,0,0,-1,607271242,"6.18"
"C11379",99,2026-04-17,2026-04-16,1,,-1,0,0,0,0,36,0,2,1,-1,1,22,1,335,313,0,0,0,0,0,-1,1,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,71,0,71,0,0,71,71,263,334,1,1,0,0,0,-1,607271242,"6.18"
"C11385",1,2026-07-19,2026-07-18,1,,-1,0,0,0,0,3,1,0,0,25,0,21,1,101,-1,0,0,0,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,74,0,74,0,0,74,74,45,119,1,1,0,0,0,-1,607271242,"6.18"
"C11403",1,2025-06-29,2025-04-24,5,"NXS12717043",-1,4,0,0,0,5,1,0,0,25,0,0,-1,-1,-1,0,0,0,0,0,-1,0,11,0,1,101,-1,459,0,0,0,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,499,0,499,499,219,718,4,0,0,0,0,-1,607271242,"6.18"
"C11406",1,2026-04-10,2026-04-09,1,,-1,0,0,0,0,3,1,0,0,55,0,22,1,116,422,0,0,0,0,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,26,0,26,0,0,26,26,0,26,1,1,0,0,0,-1,607271242,"6.18"
"C11412",1,2025-11-29,2025-11-28,1,,-1,0,0,0,0,5,1,0,0,25,0,22,1,101,423,0,0,0,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,54,0,54,0,0,54,54,0,54,1,1,0,0,0,-1,607271242,"6.18"
"C11424",1,2026-02-12,2026-02-11,1,,-1,0,0,1,0,35,1,0,0,55,0,22,1,206,99,0,0,1,0,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,38,0,38,0,0,38,38,6,44,1,1,0,0,0,-1,607271242,"6.18"
"C11433",1,2025-11-23,2025-11-22,4,"NXS14712621",655,4,0,0,0,5,1,0,0,55,0,22,1,116,116,0,0,0,0,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,43,0,43,0,0,43,43,1421,1464,1,1,0,0,0,-1,607271242,"6.18"
"C11451",1,2026-03-20,2026-03-19,1,,-1,0,1,0,0,5,1,0,0,25,0,22,1,336,204,0,1,0,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,21,0,21,0,0,21,21,0,21,1,1,0,0,0,-1,607271242,"6.18"
"C11457",1,2026-07-04,2026-07-03,1,,-1,0,0,0,1,5,1,0,0,24,0,21,1,335,-1,0,0,0,1,0,24,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,89,0,89,0,0,89,89,396,485,1,1,0,0,0,-1,607271242,"6.18"
"C11460",2,2026-05-21,2026-05-20,1,,-1,0,0,0,0,5,2,3,0,25,1,22,1,314,410,0,0,0,0,1,25,1,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,25,0,25,0,0,25,25,0,25,1,1,0,0,0,-1,607271242,"6.18"
"C11472",1,2025-12-04,2025-12-03,1,,-1,1,0,1,0,47,1,0,0,55,0,22,1,116,423,1,0,1,0,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,35,0,35,0,0,35,35,2195,2230,1,1,0,0,0,-1,607271242,"6.18"
"C11478",1,2025-11-08,2025-11-07,4,"NXS10615151",561,4,0,0,0,5,1,0,0,55,0,22,1,204,206,0,0,0,0,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,25,0,25,0,0,25,25,15,40,1,1,0,0,0,-1,607271242,"6.18"
"C11484",1,2025-10-12,2025-10-11,1,,-1,9,0,0,0,5,1,0,0,25,0,22,1,99,423,0,0,0,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,14,0,14,0,0,14,14,0,14,1,1,0,0,0,-1,607271242,"6.18"
"C11487",1,2026-01-19,2026-01-18,2,"NXS14717090",324,4,0,0,0,5,1,0,0,25,0,22,1,116,116,0,0,0,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,114,0,114,0,0,114,114,5159,5273,1,1,0,0,0,-1,607271242,"6.18"
"C11496",99,2025-12-20,2025-12-19,1,,-1,0,0,0,0,5,0,0,1,-1,0,22,1,207,314,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,36,0,36,0,0,36,36,0,36,1,1,0,0,0,-1,607271242,"6.18"
"C11499",1,2026-06-14,2026-06-13,1,,-1,0,1,1,0,5,1,0,0,55,0,21,1,116,-1,0,1,1,0,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,109,0,109,0,0,109,109,6,115,1,1,0,0,0,-1,607271242,"6.18"
"C11505",99,2026-06-26,2026-06-25,1,,-1,1,0,1,0,67,0,0,1,-1,0,22,1,335,99,1,0,1,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,15,0,15,0,0,15,15,2,17,1,1,0,0,0,-1,607271242,"6.18"
"C11508",1,2026-02-05,2026-02-04,1,,-1,0,1,0,2,5,1,0,0,25,0,22,1,336,206,0,1,0,2,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,13,0,13,0,0,13,13,91,104,1,1,0,0,0,-1,607271242,"6.18"
"C11517",1,2025-10-26,2025-10-25,4,"NXS10620517",80,4,0,0,0,5,1,0,0,25,0,22,1,101,99,0,0,0,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,60,0,60,0,0,60,60,29,89,1,1,0,0,0,-1,607271242,"6.18"
"C11520",1,2026-07-25,2026-07-24,1,,-1,0,0,1,0,5,1,0,0,25,0,21,1,335,-1,0,0,1,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,68,0,68,0,0,68,68,2,70,1,1,0,0,0,-1,607271242,"6.18"
